Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,888,93.3,12.20,1.52,
0.009,888,93.3,12.20,1.52,
0.019,888,93.3,12.20,1.52,
0.029,888,93.3,12.20,1.52,
0.039,888,93.3,12.20,1.52,
0.049,888,93.3,12.20,1.52,
0.059,968,93.3,12.20,1.52,
0.069,968,93.3,12.20,1.52,
0.079,968,93.3,12.20,1.52,
0.089,968,93.3,12.20,1.52,
0.099,968,93.3,12.20,1.52,
0.109,968,93.4,12.20,1.51,
0.119,980,93.3,12.20,1.52,
0.129,980,93.3,12.20,1.52,
0.139,980,93.3,12.20,1.52,
0.149,980,93.3,12.20,1.52,
0.159,980,93.4,12.20,1.52,
0.169,980,93.3,12.20,1.52,
0.179,1025,93.3,12.20,1.52,
0.189,1025,93.3,12.20,1.52,
0.199,1025,93.3,12.20,1.52,
0.209,1025,93.3,12.20,1.52,
0.219,1025,93.4,12.20,1.52,
0.229,1025,93.3,12.20,1.52,
0.239,1015,93.3,12.20,1.52,
0.249,1015,93.3,12.20,1.52,
0.259,1015,93.3,12.20,1.52,
0.269,1015,93.3,12.20,1.52,
0.279,1015,93.3,12.20,1.52,
0.289,1057,93.3,12.20,1.52,
0.299,1057,93.3,12.20,1.52,
0.309,1057,93.3,12.20,1.52,
0.319,1057,93.3,12.20,1.52,
0.329,1057,93.3,12.20,1.52,
0.339,1057,93.3,12.20,1.52,
0.349,1023,93.3,12.20,1.52,
0.359,1023,93.3,12.20,1.52,
0.369,1023,93.3,12.20,1.52,
0.379,1023,93.3,12.20,1.52,
0.389,1427,93.3,12.20,1.52,
0.399,1427,93.3,12.20,1.52,
0.409,1427,93.3,12.20,1.52,
0.419,1427,93.3,12.20,1.52,
0.429,1427,93.3,12.20,1.52,
0.439,1393,93.3,12.20,1.52,
0.449,1393,93.3,12.20,1.52,
0.459,1393,93.3,12.20,1.52,
0.469,1739,93.3,12.20,1.52,
0.479,1739,93.3,12.20,1.52,
0.489,1739,93.3,12.20,1.47,
0.499,1739,93.3,12.20,1.01,
0.509,1673,93.3,12.20,1.01,
0.519,1673,93.3,12.20,1.01,
0.529,1673,93.3,12.20,1.01,
0.539,1950,93.3,12.20,1.01,
0.549,1950,93.3,12.20,1.01,
0.559,1950,93.3,12.20,1.01,
0.569,1807,93.3,12.20,1.01,
0.579,1807,93.3,12.20,0.89,
0.589,1807,93.3,12.20,0.87,
0.599,2023,93.3,12.20,0.87,
0.609,2023,93.3,12.20,0.87,
0.619,2023,93.3,12.20,0.87,
0.629,1857,93.3,12.20,0.87,
0.639,1857,93.3,12.20,0.87,
0.649,1857,93.3,12.20,0.87,
0.659,2066,93.3,12.20,0.88,
0.669,2066,93.3,12.20,0.89,
0.679,2066,93.3,12.20,0.89,
0.689,1883,93.3,12.20,0.89,
