Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,768,94.8,12.18,1.52,
0.010,768,94.8,12.18,1.52,
0.019,768,94.8,12.18,1.52,
0.029,768,94.8,12.18,1.52,
0.039,768,94.8,12.18,1.51,
0.049,768,94.8,12.18,1.51,
0.059,907,94.8,12.18,1.52,
0.069,907,94.8,12.18,1.52,
0.079,907,94.8,12.18,1.52,
0.089,907,94.8,12.18,1.52,
0.099,907,94.8,12.18,1.52,
0.109,907,94.8,12.18,1.52,
0.122,997,94.8,12.18,1.52,
0.129,997,94.8,12.18,1.52,
0.139,997,94.8,12.18,1.52,
0.149,997,94.8,12.18,1.52,
0.159,997,94.8,12.18,1.52,
0.169,997,94.8,12.18,1.51,
0.179,1015,94.8,12.18,1.52,
0.189,1015,94.8,12.18,1.52,
0.199,1015,94.8,12.18,1.52,
0.209,1015,94.8,12.18,1.52,
0.219,1015,94.8,12.18,1.52,
0.229,1059,94.8,12.18,1.52,
0.239,1059,94.8,12.18,1.52,
0.249,1059,94.8,12.18,1.52,
0.259,1059,94.8,12.18,1.52,
0.269,1059,94.8,12.18,1.52,
0.279,1059,94.8,12.18,1.52,
0.289,1059,94.8,12.18,1.52,
0.299,1059,94.8,12.18,1.52,
0.309,1059,94.7,12.18,1.52,
0.319,1059,94.8,12.18,1.52,
0.329,1501,94.8,12.18,1.52,
0.340,1501,94.8,12.18,1.52,
0.349,1501,94.8,12.18,1.52,
0.359,1501,94.8,12.18,1.52,
0.369,1470,94.8,12.18,1.52,
0.379,1470,94.8,12.18,1.52,
0.389,1470,94.7,12.18,1.52,
0.399,1820,94.7,12.18,1.52,
0.409,1820,94.8,12.18,1.52,
0.419,1820,94.7,12.18,1.52,
0.429,1820,94.7,12.18,1.52,
0.439,1710,94.7,12.18,1.23,
0.449,1710,94.7,12.18,1.07,
0.459,1710,94.7,12.18,1.06,
0.469,1982,94.7,12.18,1.07,
0.479,1982,94.7,12.19,1.07,
0.489,1982,94.7,12.19,1.07,
0.499,1816,94.7,12.19,1.07,
0.509,1816,94.7,12.19,1.07,
0.519,1816,94.7,12.19,1.03,
0.529,2051,94.7,12.19,0.99,
0.539,2051,94.7,12.20,0.99,
0.549,2051,94.7,12.20,0.99,
0.561,1876,94.7,12.20,0.98,
0.569,1876,94.7,12.20,0.99,
0.579,1876,94.7,12.20,0.99,
0.589,2105,94.7,12.20,0.98,
0.599,2105,94.7,12.21,0.98,
0.609,2105,94.7,12.21,0.97,
0.619,1934,94.7,12.21,0.96,
0.629,1934,94.7,12.21,0.97,
0.639,1934,94.7,12.21,0.97,
0.649,2188,94.7,12.21,0.97,
0.659,2188,94.7,12.21,0.97,
0.670,2188,94.7,12.21,0.97,
0.679,2063,94.7,12.21,0.98,
0.689,2063,94.7,12.21,1.02,
0.699,2298,94.7,12.21,1.01,
0.709,2298,94.7,12.21,1.02,
0.719,2298,94.7,12.21,1.02,
0.729,2173,94.7,12.21,1.02,
0.739,2173,94.7,12.21,1.02,
0.749,2173,94.6,12.21,1.02,
0.759,2411,94.7,12.21,1.02,
0.769,2411,94.7,12.21,1.04,
0.780,2294,94.7,12.21,1.04,
0.789,2294,94.7,12.21,1.04,
0.799,2294,94.6,12.21,1.04,
0.809,2507,94.6,12.21,1.04,
0.819,2507,94.6,12.21,1.04,
0.829,2410,94.6,12.21,1.04,
0.839,2410,94.7,12.21,1.04,
0.850,2615,94.7,12.21,1.06,
0.859,2615,94.6,12.21,1.08,
0.869,2615,94.6,12.21,1.08,
0.879,2531,94.7,12.21,1.08,
0.889,2531,94.6,12.21,1.08,
0.899,2730,94.7,12.21,1.08,
0.909,2730,94.6,12.21,1.08,
0.919,2652,94.7,12.21,1.08,
0.929,2652,94.6,12.21,1.12,
0.939,2850,94.6,12.21,1.16,
0.949,2850,94.6,12.21,1.17,
0.959,2783,94.6,12.21,1.16,
0.969,2783,94.6,12.21,1.17,
0.979,2783,94.6,12.21,1.16,
