Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,776,93.3,12.11,1.52,
0.009,776,93.3,12.12,1.52,
0.019,776,93.3,12.12,1.52,
0.029,776,93.3,12.12,1.52,
0.039,776,93.3,12.12,1.51,
0.049,893,93.3,12.12,1.51,
0.059,893,93.3,12.12,1.52,
0.069,893,93.3,12.12,1.52,
0.079,893,93.3,12.12,1.52,
0.089,893,93.3,12.12,1.52,
0.099,893,93.3,12.12,1.52,
0.109,977,93.3,12.12,1.52,
0.119,977,93.4,12.12,1.52,
0.129,977,93.3,12.13,1.52,
0.139,977,93.3,12.13,1.52,
0.149,977,93.3,12.13,1.52,
0.159,977,93.3,12.13,1.52,
0.170,997,93.3,12.13,1.52,
0.179,997,93.3,12.13,1.52,
0.189,997,93.3,12.13,1.52,
0.199,997,93.3,12.13,1.52,
0.209,997,93.3,12.13,1.52,
0.219,997,93.3,12.13,1.52,
0.229,1044,93.3,12.13,1.52,
0.239,1044,93.3,12.13,1.52,
0.249,1044,93.3,12.13,1.52,
0.259,1044,93.3,12.13,1.52,
0.269,1044,93.3,12.13,1.52,
0.279,1044,93.3,12.13,1.52,
0.289,1038,93.4,12.13,1.52,
0.299,1038,93.3,12.13,1.52,
0.309,1038,93.3,12.13,1.52,
0.319,1038,93.4,12.13,1.52,
0.329,1491,93.4,12.13,1.52,
0.339,1491,93.3,12.13,1.52,
0.349,1491,93.3,12.13,1.52,
0.359,1491,93.3,12.13,1.52,
0.369,1464,93.3,12.13,1.52,
0.379,1464,93.3,12.13,1.52,
0.389,1464,93.3,12.13,1.52,
0.399,1813,93.3,12.13,1.52,
0.409,1813,93.3,12.13,1.18,
0.419,1813,93.3,12.13,1.18,
0.429,1813,93.4,12.13,1.17,
0.439,1727,93.4,12.13,1.18,
0.449,1727,93.3,12.13,1.18,
0.459,1727,93.3,12.13,1.18,
0.469,1994,93.4,12.13,1.18,
0.479,1994,93.4,12.14,1.18,
0.489,1994,93.3,12.14,0.93,
0.499,1850,93.4,12.14,0.90,
0.509,1850,93.3,12.14,0.91,
0.519,1850,93.3,12.14,0.91,
0.529,2070,93.4,12.14,0.90,
0.539,2070,93.3,12.14,0.91,
0.549,2070,93.3,12.14,0.91,
0.559,1903,93.3,12.14,0.90,
0.569,1903,93.4,12.14,0.94,
0.579,1903,93.3,12.14,0.95,
0.589,2111,93.3,12.14,0.95,
0.599,2111,93.3,12.14,0.95,
0.609,2111,93.4,12.14,0.95,
0.619,1931,93.4,12.14,0.95,
0.629,1931,93.4,12.14,0.95,
0.639,1931,93.3,12.14,0.95,
0.649,2129,93.4,12.14,0.97,
0.659,2129,93.3,12.14,0.98,
