Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,847,93.1,12.15,1.52,
0.009,847,93.1,12.15,1.52,
0.019,847,93.1,12.15,1.52,
0.029,847,93.1,12.15,1.52,
0.039,847,93.1,12.15,1.52,
0.049,936,93.1,12.15,1.52,
0.059,936,93.1,12.15,1.52,
0.069,936,93.1,12.15,1.52,
0.079,936,93.1,12.15,1.52,
0.089,936,93.1,12.15,1.52,
0.099,936,93.1,12.15,1.52,
0.110,956,93.1,12.15,1.52,
0.119,956,93.1,12.15,1.52,
0.129,956,93.1,12.15,1.52,
0.139,956,93.1,12.15,1.52,
0.149,956,93.1,12.15,1.50,
0.159,956,93.1,12.15,1.50,
0.169,1007,93.1,12.15,1.50,
0.179,1007,93.1,12.15,1.50,
0.189,1007,93.1,12.15,1.50,
0.199,1007,93.1,12.15,1.50,
0.209,1007,93.1,12.15,1.50,
0.219,1007,93.1,12.15,1.49,
0.230,995,93.1,12.15,1.26,
0.239,995,93.1,12.15,1.14,
0.249,995,93.1,12.15,1.14,
0.259,995,93.1,12.15,1.14,
0.269,995,93.1,12.15,1.14,
0.279,1263,93.1,12.15,1.15,
0.289,1263,93.1,12.15,1.15,
0.299,1263,93.1,12.15,1.15,
0.309,1263,93.1,12.15,1.03,
0.319,1263,93.1,12.15,0.90,
0.329,1225,93.1,12.15,0.90,
0.339,1225,93.1,12.15,0.90,
0.349,1225,93.1,12.15,0.90,
0.359,1225,93.1,12.15,0.90,
0.369,1631,93.1,12.15,0.90,
0.379,1631,93.1,12.15,0.90,
0.389,1631,93.1,12.15,0.86,
0.400,1612,93.1,12.15,0.75,
0.409,1612,93.1,12.15,0.76,
0.419,1612,93.1,12.15,0.76,
0.429,1612,93.1,12.15,0.75,
0.439,1911,93.1,12.15,0.76,
0.449,1911,93.1,12.15,0.76,
0.459,1911,93.1,12.15,0.75,
0.469,1834,93.1,12.15,0.75,
0.479,1834,93.1,12.15,0.72,
0.489,1834,93.1,12.15,0.72,
0.499,2102,93.1,12.15,0.72,
0.509,2102,93.1,12.15,0.72,
0.519,2102,93.1,12.15,0.72,
0.529,1921,93.1,12.15,0.72,
0.539,1921,93.1,12.15,0.73,
0.549,1921,93.1,12.15,0.72,
0.559,2106,93.1,12.15,0.73,
0.569,2106,93.1,12.15,0.73,
0.579,2106,93.1,12.15,0.73,
0.589,1926,93.1,12.15,0.73,
0.599,1926,93.1,12.15,0.73,
0.609,1926,93.1,12.15,0.73,
0.619,2107,93.1,12.15,0.73,
0.629,2107,93.1,12.15,0.73,
0.639,2107,93.1,12.15,0.76,
0.649,1928,93.1,12.15,0.77,
0.659,1928,93.1,12.15,0.77,
0.669,1928,93.1,12.15,0.77,
0.679,2101,93.1,12.15,0.77,
0.689,2101,93.1,12.15,0.77,
0.699,2101,93.1,12.15,0.77,
0.709,1919,93.2,12.15,0.77,
0.719,1919,93.1,12.15,0.80,
0.729,1919,93.1,12.15,0.82,
0.739,2096,93.1,12.15,0.82,
0.749,2096,93.1,12.15,0.82,
0.759,2096,93.1,12.15,0.82,
0.769,1909,93.2,12.15,0.82,
0.779,1909,93.2,12.15,0.82,
0.789,1909,93.1,12.15,0.82,
0.799,2083,93.2,12.15,0.83,
0.809,2083,93.2,12.15,0.84,
0.819,2083,93.1,12.15,0.84,
0.829,1893,93.2,12.15,0.84,
0.839,1893,93.2,12.15,0.84,
0.849,1893,93.1,12.15,0.84,
0.859,2095,93.2,12.15,0.84,
