Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,763,93.3,12.11,1.52,
0.009,763,93.3,12.11,1.52,
0.019,763,93.3,12.11,1.52,
0.029,763,93.3,12.11,1.52,
0.039,763,93.3,12.11,1.52,
0.049,763,93.3,12.11,1.52,
0.059,897,93.3,12.11,1.52,
0.069,897,93.3,12.11,1.52,
0.079,897,93.3,12.12,1.52,
0.089,897,93.3,12.12,1.52,
0.099,897,93.3,12.12,1.52,
0.109,897,93.3,12.12,1.52,
0.119,933,93.3,12.12,1.52,
0.129,933,93.3,12.12,1.52,
0.139,933,93.3,12.12,1.52,
0.149,933,93.3,12.12,1.52,
0.159,933,93.3,12.12,1.52,
0.169,933,93.3,12.12,1.52,
0.179,984,93.3,12.12,1.52,
0.189,984,93.3,12.12,1.52,
0.199,984,93.3,12.12,1.52,
0.209,984,93.3,12.12,1.52,
0.219,984,93.3,12.12,1.52,
0.229,984,93.3,12.12,1.52,
0.239,984,93.3,12.12,1.52,
0.249,960,93.3,12.12,1.52,
0.259,960,93.3,12.12,1.52,
0.269,960,93.3,12.12,1.52,
0.279,960,93.3,12.12,1.52,
0.289,960,93.3,12.12,1.52,
0.299,960,93.3,12.12,1.52,
0.309,978,93.3,12.12,1.52,
0.319,978,93.3,12.12,1.52,
0.329,978,93.3,12.13,1.52,
0.339,978,93.3,12.13,1.52,
0.349,978,93.3,12.13,1.52,
0.359,978,93.3,12.13,1.52,
0.369,978,93.3,12.13,1.52,
0.379,875,93.3,12.13,1.52,
0.389,875,93.3,12.13,1.52,
0.399,875,93.3,12.13,1.52,
0.409,875,93.3,12.13,1.52,
0.419,875,93.3,12.13,1.52,
0.429,875,93.3,12.13,1.52,
0.439,875,93.3,12.13,1.52,
0.449,826,93.3,12.13,1.52,
0.459,826,93.3,12.13,1.52,
0.469,826,93.3,12.13,1.52,
0.479,826,93.3,12.13,1.52,
0.489,826,93.3,12.13,1.52,
0.499,826,93.3,12.13,1.52,
0.509,826,93.3,12.13,1.52,
0.519,826,93.3,12.13,1.52,
0.529,826,93.3,12.13,1.52,
0.539,673,93.3,12.13,1.52,
0.549,673,93.3,12.13,1.52,
0.559,673,93.3,12.13,1.52,
0.569,673,93.3,12.13,1.52,
0.579,673,93.3,12.13,1.52,
0.589,673,93.3,12.13,1.52,
0.599,673,93.3,12.13,1.52,
0.609,673,93.3,12.13,1.52,
0.619,673,93.3,12.13,1.52,
0.629,673,93.3,12.13,1.52,
0.639,605,93.3,12.13,1.52,
0.649,605,93.3,12.13,1.52,
0.659,605,93.3,12.13,1.52,
0.669,605,93.3,12.13,1.52,
0.679,605,93.3,12.13,1.52,
0.689,605,93.3,12.13,1.52,
0.699,605,93.3,12.13,1.52,
0.709,605,93.3,12.13,1.52,
0.719,605,93.3,12.13,1.52,
0.729,605,93.3,12.13,1.52,
0.739,605,93.3,12.13,1.52,
0.749,605,93.3,12.13,1.52,
