Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,798,93.3,12.14,1.52,
0.009,798,93.3,12.14,1.52,
0.019,798,93.3,12.14,1.52,
0.029,798,93.4,12.14,1.52,
0.039,798,93.4,12.14,1.52,
0.049,921,93.3,12.14,1.52,
0.059,921,93.3,12.14,1.52,
0.069,921,93.4,12.14,1.52,
0.079,921,93.4,12.14,1.52,
0.089,921,93.3,12.14,1.52,
0.099,921,93.3,12.14,1.52,
0.109,921,93.4,12.14,1.51,
0.119,958,93.4,12.14,1.52,
0.129,958,93.3,12.14,1.52,
0.139,958,93.3,12.14,1.52,
0.149,958,93.4,12.14,1.52,
0.159,958,93.3,12.14,1.52,
0.169,1015,93.3,12.14,1.52,
0.179,1015,93.4,12.14,1.52,
0.189,1015,93.3,12.14,1.52,
0.199,1015,93.4,12.14,1.52,
0.209,1015,93.4,12.14,1.52,
0.219,1015,93.4,12.14,1.52,
0.230,1009,93.4,12.14,1.52,
0.239,1009,93.3,12.14,1.52,
0.249,1009,93.4,12.14,1.52,
0.259,1009,93.3,12.14,1.52,
0.269,1009,93.4,12.14,1.52,
0.279,1009,93.4,12.14,1.52,
0.289,1050,93.4,12.14,1.52,
0.299,1050,93.4,12.14,1.52,
0.309,1050,93.4,12.14,1.52,
0.319,1050,93.4,12.14,1.52,
0.329,1050,93.3,12.14,1.52,
0.339,1050,93.4,12.14,1.52,
0.349,1029,93.3,12.14,1.52,
0.359,1029,93.4,12.14,1.52,
0.369,1029,93.4,12.14,1.52,
0.379,1029,93.4,12.14,1.52,
0.389,1029,93.3,12.14,1.52,
0.399,1029,93.4,12.14,1.52,
0.409,1066,93.4,12.14,1.52,
0.419,1066,93.3,12.14,1.52,
0.429,1066,93.4,12.14,1.52,
0.439,1066,93.4,12.14,1.52,
0.449,1066,93.3,12.14,1.52,
0.459,1030,93.4,12.14,1.51,
0.469,1030,93.4,12.14,1.52,
0.479,1030,93.3,12.14,1.52,
0.489,1030,93.3,12.14,1.52,
0.499,1030,93.4,12.14,1.52,
0.509,1030,93.3,12.14,1.52,
0.519,1071,93.3,12.14,1.52,
0.529,1071,93.4,12.14,1.52,
0.539,1071,93.3,12.14,1.52,
0.549,1071,93.4,12.14,1.52,
0.559,1071,93.4,12.14,1.52,
0.569,1071,93.4,12.14,1.52,
0.579,986,93.4,12.14,1.52,
0.589,986,93.4,12.14,1.52,
0.599,986,93.3,12.14,1.52,
0.609,986,93.4,12.14,1.52,
0.619,986,93.4,12.14,1.52,
0.629,1344,93.3,12.14,1.52,
0.639,1344,93.4,12.14,1.52,
0.649,1344,93.4,12.14,1.52,
0.659,1344,93.4,12.14,1.52,
0.669,1313,93.4,12.14,1.52,
0.679,1313,93.3,12.14,1.52,
0.689,1313,93.3,12.14,1.52,
0.699,1313,93.4,12.14,1.52,
0.709,1679,93.4,12.14,1.52,
0.719,1679,93.3,12.14,1.52,
0.729,1679,93.4,12.14,1.13,
0.739,1629,93.4,12.14,1.12,
0.749,1629,93.4,12.14,1.13,
0.759,1629,93.4,12.14,1.13,
0.770,1944,93.4,12.14,1.12,
0.779,1944,93.3,12.14,1.13,
0.789,1944,93.4,12.14,1.13,
0.799,1944,93.4,12.14,1.12,
0.809,1894,93.4,12.14,1.01,
0.819,1894,93.3,12.14,0.99,
0.829,2211,93.4,12.14,0.99,
0.839,2211,93.4,12.14,0.99,
0.849,2211,93.4,12.14,0.99,
0.859,2058,93.4,12.14,0.99,
0.869,2058,93.3,12.14,0.99,
0.879,2058,93.4,12.14,0.99,
0.889,2193,93.4,12.14,1.03,
0.899,2193,93.3,12.14,1.05,
0.909,2193,93.3,12.14,1.05,
0.919,1999,93.3,12.14,1.05,
0.929,1999,93.3,12.14,1.05,
0.939,1999,93.4,12.14,1.05,
0.949,1903,93.4,12.14,1.05,
0.959,1903,93.3,12.14,1.05,
0.969,1903,93.4,12.14,1.24,
0.980,1808,93.3,12.14,1.42,
0.989,1808,93.4,12.14,1.43,
0.999,1808,93.3,12.14,1.43,
1.009,1808,93.4,12.14,1.43,
1.019,1771,93.4,12.14,1.42,
1.029,1771,93.4,12.14,1.43,
1.039,1771,93.3,12.14,1.43,
1.049,1715,93.4,12.14,1.45,
1.059,1715,93.3,12.14,1.52,
1.069,1715,93.3,12.14,1.52,
1.079,1715,93.4,12.14,1.52,
1.089,1695,93.4,12.14,1.52,
1.099,1695,93.3,12.14,1.52,
1.109,1695,93.4,12.14,1.52,
1.119,1695,93.3,12.14,1.52,
1.129,1646,93.4,12.14,1.52,
1.139,1646,93.4,12.14,1.52,
1.149,1646,93.4,12.14,1.52,
1.159,1627,93.4,12.14,1.52,
1.169,1627,93.4,12.14,1.52,
1.179,1627,93.4,12.14,1.52,
1.189,1627,93.4,12.14,1.52,
1.199,1574,93.4,12.14,1.52,
1.209,1574,93.4,12.14,1.52,
1.219,1574,93.4,12.14,1.52,
1.229,1574,93.4,12.14,1.52,
1.239,1553,93.4,12.14,1.52,
1.249,1553,93.3,12.14,1.52,
1.259,1553,93.3,12.14,1.52,
1.269,1553,93.4,12.14,1.52,
1.279,1500,93.3,12.14,1.52,
1.289,1500,93.3,12.14,1.52,
1.299,1500,93.4,12.14,1.52,
1.309,1500,93.4,12.14,1.52,
1.319,1478,93.4,12.14,1.52,
1.329,1478,93.4,12.14,1.52,
1.339,1478,93.4,12.14,1.52,
1.349,1478,93.4,12.14,1.52,
1.359,1422,93.4,12.14,1.52,
1.369,1422,93.4,12.14,1.52,
1.379,1422,93.4,12.14,1.52,
1.389,1422,93.4,12.14,1.52,
1.400,1397,93.4,12.14,1.52,
1.409,1397,93.4,12.14,1.52,
1.419,1397,93.4,12.14,1.52,
1.429,1397,93.4,12.14,1.52,
1.439,1397,93.4,12.14,1.52,
1.449,1336,93.3,12.14,1.52,
1.459,1336,93.4,12.14,1.52,
1.469,1336,93.4,12.14,1.52,
1.479,1336,93.4,12.14,1.52,
1.489,1312,93.4,12.14,1.52,
1.499,1312,93.3,12.14,1.52,
1.509,1312,93.4,12.14,1.52,
1.519,1312,93.4,12.14,1.52,
1.529,1312,93.3,12.14,1.52,
1.539,1243,93.4,12.14,1.52,
1.549,1243,93.3,12.14,1.52,
1.559,1243,93.3,12.14,1.52,
1.569,1243,93.4,12.14,1.52,
1.579,1243,93.4,12.14,1.52,
1.589,1214,93.4,12.14,1.52,
1.599,1214,93.4,12.14,1.52,
1.609,1214,93.4,12.14,1.52,
1.619,1214,93.4,12.14,1.52,
1.629,1214,93.4,12.14,1.52,
1.639,1214,93.4,12.14,1.52,
1.649,1143,93.4,12.14,1.52,
1.659,1143,93.3,12.14,1.52,
1.669,1143,93.3,12.14,1.52,
1.679,1143,93.4,12.14,1.52,
1.689,1143,93.4,12.14,1.52,
1.699,1108,93.4,12.14,1.52,
1.709,1108,93.3,12.14,1.52,
1.719,1108,93.4,12.14,1.52,
1.729,1108,93.4,12.14,1.52,
1.739,1108,93.4,12.14,1.52,
1.749,1108,93.4,12.14,1.52,
1.759,1033,93.3,12.14,1.52,
1.769,1033,93.4,12.14,1.52,
1.779,1033,93.4,12.14,1.52,
