Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,915,0.0,11.47,1.52,
0.009,915,0.0,11.50,1.52,
0.019,915,0.0,11.52,1.52,
0.029,915,0.0,11.54,1.52,
0.039,1217,0.0,11.51,1.52,
0.049,1217,0.0,11.32,1.52,
0.059,1217,0.0,11.12,1.52,
0.069,1217,0.0,10.98,1.52,
0.079,1217,0.0,10.93,1.52,
0.089,1172,0.0,10.93,1.52,
0.099,1172,0.0,10.97,1.52,
0.109,1172,0.0,11.01,1.52,
0.119,1172,0.0,11.05,1.52,
0.129,1172,0.0,11.09,1.52,
0.141,1173,0.0,11.10,1.52,
0.149,1173,0.0,10.95,1.52,
0.159,1173,0.0,10.76,1.52,
0.169,1173,0.0,10.61,1.52,
0.179,1173,0.0,10.55,1.52,
0.189,1173,0.0,10.55,1.52,
0.199,1114,0.0,10.59,1.52,
0.209,1114,0.0,10.64,1.52,
0.219,1114,0.0,10.69,1.52,
0.229,1114,0.0,10.74,1.52,
0.239,1114,0.0,10.79,1.52,
0.251,1069,0.0,10.81,1.52,
0.259,1069,0.0,10.68,1.52,
0.269,1069,0.0,10.50,1.52,
0.279,1069,0.0,10.35,1.52,
0.289,1069,0.0,10.28,1.52,
0.299,1069,0.0,10.28,1.52,
0.309,1000,0.0,10.32,1.52,
0.319,1000,0.0,10.38,1.52,
0.329,1000,0.0,10.44,1.52,
0.339,1000,0.0,10.50,1.52,
0.349,1000,0.0,10.55,1.52,
0.359,1000,0.0,10.60,1.52,
0.369,1000,0.0,10.64,1.52,
0.379,951,0.0,10.57,1.52,
0.389,951,0.0,10.41,1.52,
0.399,951,0.0,10.25,1.52,
0.409,951,0.0,10.13,1.52,
0.419,951,0.0,10.10,1.52,
0.429,951,0.0,10.12,1.52,
0.440,871,0.0,10.18,1.52,
0.449,871,0.0,10.24,1.52,
0.459,871,0.0,10.30,1.52,
0.469,871,0.0,10.36,1.52,
0.479,871,0.0,10.42,1.52,
0.489,871,0.0,10.48,1.52,
0.499,871,0.0,10.54,1.52,
0.509,871,0.0,10.59,1.52,
0.519,815,0.0,10.57,1.52,
0.529,815,0.0,10.44,1.52,
0.539,815,0.0,10.28,1.52,
0.549,815,0.0,10.14,1.52,
0.559,815,0.0,10.05,1.52,
0.569,815,0.0,10.04,1.52,
0.579,815,0.0,10.08,1.52,
0.589,815,0.0,10.14,1.52,
0.599,718,0.0,10.21,1.52,
0.609,718,0.0,10.27,1.52,
0.619,718,0.0,10.33,1.52,
0.629,718,0.0,10.39,1.52,
0.639,718,0.0,10.45,1.52,
0.649,718,0.0,10.51,1.52,
0.659,718,0.0,10.56,1.52,
0.669,718,0.0,10.61,1.52,
0.679,718,0.0,10.66,1.52,
0.690,650,0.0,10.69,1.52,
0.699,650,0.0,10.63,1.52,
0.709,650,0.0,10.50,1.52,
0.719,650,0.0,10.36,1.52,
0.729,650,0.0,10.23,1.52,
0.739,650,0.0,10.13,1.52,
0.749,650,0.0,10.08,1.52,
0.759,650,0.0,10.10,1.52,
0.769,650,0.0,10.16,1.52,
0.779,650,0.0,10.22,1.52,
0.789,650,0.0,10.28,1.52,
0.799,650,0.0,10.34,1.52,
