Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,659,93.1,12.15,1.52,
0.009,659,93.1,12.15,1.52,
0.019,659,93.1,12.15,1.52,
0.029,659,93.1,12.15,1.52,
0.039,659,93.1,12.15,1.52,
0.049,659,93.1,12.15,1.52,
0.059,659,93.1,12.15,1.52,
0.069,659,93.1,12.15,1.52,
0.079,659,93.1,12.15,1.52,
0.089,659,93.1,12.15,1.52,
0.099,569,93.1,12.15,1.52,
0.109,569,93.1,12.15,1.52,
0.119,569,93.1,12.15,1.52,
0.129,569,93.1,12.15,1.52,
0.139,569,93.1,12.15,1.52,
0.149,569,93.1,12.15,1.52,
0.159,964,93.1,12.15,1.52,
0.169,964,93.1,12.15,1.52,
0.179,964,93.1,12.15,1.52,
0.189,964,93.1,12.15,1.52,
0.199,964,93.1,12.15,1.52,
0.209,964,93.1,12.15,1.52,
0.219,964,93.1,12.15,1.52,
0.229,879,93.1,12.15,1.52,
0.239,879,93.1,12.15,1.52,
0.249,879,93.1,12.15,1.52,
0.259,879,93.1,12.15,1.52,
0.269,879,93.1,12.15,1.52,
0.279,879,93.1,12.15,1.52,
0.289,879,93.1,12.15,1.52,
0.299,827,93.1,12.15,1.52,
0.309,827,93.1,12.15,1.52,
0.319,827,93.1,12.15,1.52,
0.329,827,93.1,12.15,1.52,
0.339,827,93.1,12.15,1.52,
0.349,827,93.1,12.15,1.52,
0.359,827,93.1,12.15,1.52,
0.369,827,93.1,12.15,1.52,
0.380,705,93.1,12.15,1.52,
0.389,705,93.1,12.15,1.52,
0.399,705,93.1,12.15,1.52,
0.409,705,93.1,12.15,1.52,
0.419,705,93.1,12.15,1.52,
0.429,705,93.1,12.15,1.52,
0.439,705,93.1,12.15,1.52,
0.449,705,93.1,12.15,1.52,
0.459,705,93.1,12.15,1.52,
0.469,705,93.1,12.15,1.52,
0.479,640,93.1,12.15,1.52,
0.489,640,93.1,12.15,1.52,
0.499,640,93.1,12.15,1.52,
0.509,640,93.1,12.15,1.52,
0.519,640,93.1,12.15,1.52,
0.529,640,93.1,12.15,1.52,
0.539,640,93.1,12.15,1.52,
0.549,640,93.1,12.15,1.52,
0.559,640,93.1,12.15,1.52,
0.569,640,93.1,12.15,1.52,
0.579,640,93.1,12.15,1.52,
0.589,640,93.1,12.15,1.52,
0.599,640,93.1,12.15,1.52,
0.609,640,93.1,12.15,1.52,
