Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,734,93.3,12.19,1.52,
0.009,734,93.3,12.19,1.52,
0.019,734,93.3,12.19,1.52,
0.029,734,93.3,12.19,1.52,
0.039,734,93.3,12.19,1.51,
0.049,882,93.3,12.19,1.52,
0.059,882,93.3,12.19,1.52,
0.069,882,93.3,12.19,1.52,
0.079,882,93.3,12.19,1.52,
0.089,882,93.3,12.19,1.52,
0.099,882,93.3,12.19,1.52,
0.109,882,93.3,12.19,1.51,
0.119,924,93.3,12.19,1.52,
0.129,924,93.3,12.19,1.52,
0.139,924,93.3,12.19,1.52,
0.149,924,93.3,12.19,1.52,
0.159,924,93.3,12.19,1.52,
0.169,924,93.3,12.19,1.52,
0.179,984,93.3,12.19,1.52,
0.189,984,93.3,12.19,1.52,
0.199,984,93.3,12.19,1.52,
0.209,984,93.3,12.19,1.52,
0.219,984,93.3,12.19,1.52,
0.229,984,93.3,12.19,1.52,
0.239,984,93.3,12.19,1.52,
0.249,984,93.3,12.19,1.52,
0.259,984,93.3,12.19,1.52,
0.269,984,93.3,12.19,1.52,
0.279,984,93.3,12.19,1.52,
0.289,984,93.3,12.19,1.52,
0.299,1025,93.3,12.19,1.52,
0.309,1025,93.3,12.19,1.52,
0.319,1025,93.3,12.19,1.52,
0.329,1025,93.3,12.19,1.52,
0.339,1025,93.3,12.19,1.52,
0.349,1025,93.3,12.19,1.52,
0.359,1018,93.3,12.19,1.52,
0.369,1018,93.3,12.19,1.52,
0.379,1018,93.3,12.19,1.52,
0.389,1018,93.3,12.19,1.52,
0.399,1434,93.3,12.19,1.52,
0.409,1434,93.3,12.19,1.52,
0.419,1434,93.3,12.19,1.52,
0.429,1434,93.3,12.19,1.52,
0.439,1403,93.3,12.19,1.52,
0.449,1403,93.3,12.19,1.52,
0.459,1403,93.3,12.19,1.51,
0.469,1403,93.3,12.19,1.50,
0.479,1772,93.3,12.19,1.50,
0.489,1772,93.3,12.19,1.50,
0.499,1772,93.3,12.19,1.50,
0.509,1707,93.3,12.19,1.50,
0.519,1707,93.3,12.19,1.50,
0.529,1707,93.3,12.19,1.50,
0.539,2007,93.3,12.19,1.43,
0.549,2007,93.3,12.19,0.98,
0.559,2007,93.3,12.19,0.98,
0.569,1974,93.3,12.19,0.98,
0.579,1974,93.3,12.19,0.98,
0.589,1974,93.3,12.19,0.98,
0.599,2291,93.3,12.19,0.98,
0.609,2291,93.3,12.19,0.98,
0.619,2291,93.3,12.19,0.98,
0.629,2157,93.3,12.19,0.99,
0.639,2157,93.3,12.19,0.99,
0.649,2322,93.3,12.19,0.99,
0.659,2322,93.3,12.19,0.99,
0.669,2322,93.3,12.19,0.99,
0.679,2120,93.3,12.19,0.99,
0.689,2120,93.3,12.19,0.99,
0.699,2120,93.3,12.19,0.99,
0.709,2294,93.3,12.19,1.00,
0.719,2294,93.3,12.19,1.01,
0.729,2294,93.3,12.19,1.01,
0.739,2106,93.3,12.19,1.01,
0.749,2106,93.3,12.19,1.01,
0.759,2291,93.3,12.19,1.01,
0.769,2291,93.3,12.19,1.01,
0.779,2291,93.3,12.19,1.01,
