Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,776,93.3,12.13,1.52,
0.009,776,93.3,12.13,1.52,
0.019,776,93.3,12.13,1.52,
0.029,776,93.3,12.13,1.52,
0.039,776,93.3,12.13,1.52,
0.049,776,93.3,12.13,1.52,
0.059,870,93.3,12.13,1.51,
0.069,870,93.3,12.13,1.52,
0.079,870,93.3,12.13,1.52,
0.089,870,93.3,12.13,1.52,
0.099,870,93.3,12.13,1.52,
0.109,870,93.3,12.13,1.52,
0.119,870,93.3,12.13,1.52,
0.129,941,93.3,12.13,1.52,
0.139,941,93.3,12.13,1.52,
0.149,941,93.3,12.13,1.52,
0.159,941,93.3,12.13,1.52,
0.169,941,93.3,12.13,1.52,
0.179,941,93.3,12.13,1.52,
0.189,953,93.3,12.13,1.52,
0.199,953,93.3,12.13,1.52,
0.209,953,93.3,12.13,1.52,
0.219,953,93.3,12.13,1.52,
0.229,953,93.3,12.13,1.52,
0.239,953,93.3,12.13,1.52,
0.249,992,93.3,12.13,1.52,
0.259,992,93.3,12.13,1.52,
0.269,992,93.3,12.13,1.52,
0.279,992,93.3,12.13,1.52,
0.289,992,93.3,12.13,1.52,
0.299,992,93.3,12.13,1.52,
0.309,961,93.3,12.13,1.52,
0.319,961,93.3,12.13,1.52,
0.329,961,93.3,12.13,1.52,
0.339,961,93.3,12.13,1.52,
0.349,961,93.3,12.13,1.52,
0.359,961,93.3,12.13,1.52,
0.369,971,93.3,12.13,1.52,
0.379,971,93.3,12.13,1.52,
0.389,971,93.3,12.13,1.52,
0.399,971,93.3,12.13,1.52,
0.409,971,93.3,12.13,1.52,
0.419,971,93.3,12.13,1.52,
0.429,971,93.3,12.13,1.52,
0.439,868,93.3,12.13,1.52,
0.449,868,93.3,12.13,1.52,
0.459,868,93.3,12.13,1.52,
0.469,868,93.3,12.13,1.52,
0.479,868,93.3,12.13,1.52,
0.489,868,93.3,12.13,1.52,
0.499,868,93.3,12.13,1.52,
0.509,868,93.3,12.13,1.52,
0.519,819,93.3,12.13,1.52,
0.529,819,93.3,12.13,1.52,
0.539,819,93.3,12.13,1.52,
0.549,819,93.3,12.13,1.52,
0.559,819,93.3,12.13,1.52,
0.569,819,93.3,12.13,1.52,
0.579,819,93.3,12.13,1.52,
0.589,819,93.3,12.13,1.52,
0.599,819,93.3,12.13,1.52,
0.609,661,93.3,12.13,1.52,
0.619,661,93.3,12.13,1.52,
0.629,661,93.3,12.13,1.52,
0.639,661,93.3,12.13,1.52,
0.649,661,93.3,12.13,1.52,
0.659,661,93.3,12.13,1.52,
0.669,661,93.3,12.13,1.52,
0.679,661,93.3,12.13,1.52,
0.689,661,93.3,12.13,1.52,
0.699,661,93.3,12.13,1.52,
0.709,592,93.3,12.13,1.52,
0.719,592,93.3,12.13,1.52,
0.729,592,93.3,12.13,1.52,
0.739,592,93.3,12.13,1.52,
0.749,592,93.3,12.13,1.52,
0.759,592,93.3,12.13,1.52,
0.769,592,93.3,12.13,1.52,
0.779,592,93.3,12.13,1.52,
0.789,592,93.3,12.13,1.52,
0.799,592,93.3,12.13,1.52,
0.809,592,93.3,12.13,1.52,
0.819,592,93.3,12.13,1.52,
