Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,885,97.3,12.18,1.52,
0.009,885,97.3,12.18,1.52,
0.019,885,97.3,12.18,1.52,
0.029,885,97.3,12.18,1.51,
0.039,885,97.3,12.18,1.51,
0.049,975,97.3,12.18,1.52,
0.059,975,97.3,12.18,1.52,
0.069,975,97.3,12.18,1.52,
0.079,975,97.3,12.18,1.52,
0.089,975,97.3,12.18,1.52,
0.099,975,97.3,12.18,1.51,
0.109,1001,97.3,12.18,1.52,
0.119,1001,97.3,12.18,1.52,
0.129,1001,97.3,12.18,1.52,
0.139,1001,97.3,12.18,1.52,
0.149,1493,97.3,12.18,1.52,
0.159,1493,97.3,12.18,1.52,
0.169,1493,97.3,12.18,1.52,
0.179,1493,97.3,12.18,1.52,
0.189,1479,97.3,12.18,1.52,
0.199,1479,97.3,12.18,1.50,
0.209,1479,97.4,12.18,1.29,
0.219,1825,97.4,12.18,1.28,
0.229,1825,97.4,12.18,1.29,
0.239,1825,97.4,12.18,1.29,
0.249,1825,97.4,12.18,1.28,
0.259,1718,97.4,12.18,1.29,
0.269,1718,97.4,12.18,1.29,
0.279,1718,97.4,12.18,1.28,
0.289,1977,97.4,12.18,0.82,
0.299,1977,97.4,12.19,0.76,
0.309,1977,97.4,12.19,0.76,
0.319,1807,97.4,12.19,0.76,
0.329,1807,97.4,12.19,0.76,
0.339,1807,97.4,12.19,0.76,
0.349,2029,97.4,12.19,0.76,
0.359,2029,97.4,12.19,0.76,
0.369,2029,97.4,12.19,0.77,
0.379,1852,97.4,12.19,0.77,
0.389,1852,97.4,12.19,0.78,
0.399,1852,97.4,12.19,0.78,
0.409,2064,97.4,12.19,0.77,
0.419,2064,97.4,12.19,0.78,
0.429,2064,97.4,12.19,0.78,
0.439,1918,97.4,12.19,0.77,
0.449,1918,97.4,12.19,0.78,
0.459,1918,97.4,12.19,0.78,
0.469,2164,97.4,12.19,0.77,
0.479,2164,97.4,12.19,0.78,
0.491,2164,97.4,12.19,0.78,
0.499,2048,97.5,12.19,0.77,
0.509,2048,97.5,12.19,0.78,
0.519,2048,97.4,12.19,0.77,
0.529,2283,97.5,12.19,0.78,
0.539,2283,97.4,12.19,0.78,
0.550,2179,97.5,12.19,0.77,
0.559,2179,97.5,12.19,0.78,
0.569,2179,97.5,12.19,0.78,
0.579,2406,97.5,12.19,0.77,
0.589,2406,97.4,12.20,0.78,
0.599,2406,97.5,12.20,0.77,
0.609,2290,97.5,12.20,0.78,
0.619,2290,97.5,12.20,0.77,
0.629,2494,97.5,12.20,0.77,
0.639,2494,97.5,12.21,0.78,
0.650,2391,97.5,12.21,0.77,
0.659,2391,97.5,12.21,0.78,
0.669,2391,97.5,12.21,0.78,
0.679,2595,97.5,12.21,0.78,
0.689,2595,97.5,12.22,0.78,
0.699,2514,97.5,12.22,0.79,
0.709,2514,97.5,12.22,0.79,
0.719,2725,97.5,12.22,0.79,
0.729,2725,97.5,12.22,0.79,
0.739,2725,97.5,12.22,0.79,
0.749,2657,97.6,12.22,0.80,
0.759,2657,97.5,12.22,0.79,
0.769,2856,97.5,12.22,0.79,
0.779,2856,97.6,12.22,0.82,
0.789,2795,97.6,12.22,0.83,
0.801,2795,97.6,12.22,0.83,
0.809,2989,97.6,12.22,0.83,
0.819,2989,97.6,12.22,0.84,
0.829,2933,97.6,12.22,0.83,
0.839,2933,97.6,12.22,0.83,
0.849,3116,97.6,12.22,0.83,
0.859,3116,97.6,12.22,0.87,
0.869,3066,97.6,12.22,0.91,
0.879,3066,97.6,12.22,0.90,
0.889,3235,97.6,12.22,0.91,
0.899,3235,97.6,12.22,0.90,
0.909,3187,97.6,12.22,0.91,
0.919,3358,97.7,12.22,0.91,
0.929,3358,97.7,12.22,0.91,
0.939,3307,97.7,12.22,0.91,
0.949,3307,97.6,12.22,0.93,
0.959,3478,97.6,12.22,0.92,
0.969,3478,97.7,12.22,0.92,
0.979,3424,97.7,12.22,0.93,
0.989,3586,97.7,12.22,0.93,
0.999,3586,97.7,12.22,0.93,
1.009,3527,97.7,12.22,0.92,
1.019,3527,97.7,12.22,0.93,
1.029,3698,97.7,12.22,0.95,
1.039,3633,97.8,12.22,0.94,
1.049,3633,97.7,12.22,0.95,
1.059,3801,97.7,12.22,0.94,
1.070,3733,97.7,12.22,0.94,
1.079,3733,97.7,12.22,0.95,
1.089,3911,97.8,12.22,0.94,
1.099,3911,97.7,12.23,0.94,
1.109,3840,97.7,12.23,1.01,
1.119,4005,97.7,12.23,1.01,
