Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,684,92.1,12.18,1.52,
0.009,684,92.1,12.18,1.52,
0.019,684,92.1,12.18,1.52,
0.029,684,92.1,12.18,1.52,
0.039,684,92.1,12.18,1.52,
0.049,684,92.1,12.18,1.51,
0.059,684,92.1,12.18,1.51,
0.069,820,92.1,12.18,1.52,
0.079,820,92.1,12.18,1.52,
0.089,820,92.1,12.18,1.52,
0.099,820,92.1,12.18,1.52,
0.109,820,92.1,12.18,1.52,
0.119,820,92.1,12.18,1.52,
0.129,917,92.1,12.18,1.52,
0.139,917,92.0,12.18,1.52,
0.149,917,92.1,12.18,1.52,
0.159,917,92.0,12.18,1.52,
0.169,917,92.1,12.18,1.52,
0.179,917,92.1,12.18,1.52,
0.189,917,92.1,12.18,1.52,
0.199,940,92.1,12.18,1.52,
0.209,940,92.0,12.18,1.52,
0.219,940,92.1,12.18,1.52,
0.229,940,92.1,12.18,1.52,
0.239,940,92.1,12.18,1.52,
0.249,940,92.1,12.18,1.52,
0.259,989,92.1,12.18,1.52,
0.269,989,92.1,12.18,1.52,
0.279,989,92.0,12.18,1.52,
0.289,989,92.1,12.18,1.52,
0.299,989,92.1,12.18,1.52,
0.309,989,92.1,12.18,1.51,
0.319,978,92.1,12.18,1.52,
0.329,978,92.1,12.18,1.52,
0.339,978,92.1,12.18,1.52,
0.349,978,92.1,12.18,1.52,
0.359,978,92.1,12.18,1.52,
0.369,978,92.1,12.18,1.52,
0.379,1015,92.1,12.18,1.52,
0.389,1015,92.1,12.18,1.52,
0.399,1015,92.1,12.18,1.52,
0.409,1015,92.1,12.18,1.52,
0.419,1015,92.1,12.18,1.52,
0.429,1015,92.1,12.18,1.52,
0.439,993,92.1,12.18,1.52,
0.449,993,92.1,12.18,1.52,
0.459,993,92.0,12.18,1.52,
0.469,993,92.1,12.18,1.52,
0.479,993,92.0,12.18,1.52,
0.489,993,92.1,12.18,1.52,
0.499,1027,92.1,12.18,1.52,
0.509,1027,92.1,12.18,1.52,
0.519,1027,92.1,12.18,1.52,
0.529,1027,92.1,12.18,1.52,
0.539,1027,92.1,12.18,1.52,
0.549,1027,92.1,12.18,1.52,
0.559,1005,92.1,12.18,1.52,
0.569,1005,92.1,12.18,1.52,
0.579,1005,92.1,12.18,1.52,
0.589,1005,92.1,12.18,1.52,
0.599,1005,92.1,12.18,1.52,
0.609,1042,92.1,12.18,1.52,
0.619,1042,92.1,12.18,1.52,
0.629,1042,92.1,12.18,1.52,
0.639,1042,92.1,12.18,1.52,
0.649,1042,92.1,12.18,1.52,
0.659,1042,92.1,12.18,1.52,
0.669,1001,92.1,12.18,1.52,
0.679,1001,92.1,12.18,1.52,
0.689,1001,92.1,12.18,1.52,
0.699,1001,92.1,12.18,1.52,
0.709,1001,92.1,12.18,1.52,
0.719,1001,92.1,12.18,1.52,
0.729,1043,92.1,12.18,1.52,
0.739,1043,92.1,12.18,1.52,
0.749,1043,92.1,12.18,1.52,
0.759,1043,92.1,12.18,1.52,
0.769,1043,92.1,12.18,1.52,
0.779,1043,92.0,12.18,1.52,
0.789,1000,92.1,12.18,1.52,
0.799,1000,92.1,12.18,1.52,
0.809,1000,92.0,12.18,1.52,
0.819,1000,92.1,12.18,1.52,
0.829,1000,92.1,12.18,1.52,
0.839,1000,92.1,12.18,1.52,
0.849,1039,92.1,12.18,1.52,
0.859,1039,92.1,12.18,1.52,
