Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,752,93.3,12.16,1.52,
0.009,752,93.3,12.16,1.52,
0.019,752,93.3,12.16,1.52,
0.029,752,93.3,12.16,1.52,
0.039,752,93.3,12.16,1.51,
0.049,752,93.4,12.16,1.51,
0.059,884,93.3,12.16,1.51,
0.069,884,93.3,12.16,1.52,
0.079,884,93.3,12.16,1.52,
0.089,884,93.3,12.16,1.52,
0.099,884,93.3,12.16,1.52,
0.109,884,93.3,12.16,1.52,
0.119,971,93.3,12.16,1.52,
0.129,971,93.3,12.16,1.52,
0.139,971,93.3,12.16,1.52,
0.149,971,93.3,12.16,1.52,
0.159,971,93.3,12.16,1.52,
0.169,971,93.3,12.16,1.52,
0.179,1000,93.3,12.16,1.52,
0.189,1000,93.3,12.16,1.52,
0.199,1000,93.3,12.16,1.52,
0.209,1000,93.3,12.16,1.52,
0.219,1543,93.3,12.16,1.52,
0.229,1543,93.4,12.16,1.52,
0.239,1543,93.3,12.16,1.52,
0.249,1543,93.3,12.16,1.52,
0.259,1524,93.3,12.16,1.52,
0.269,1524,93.3,12.16,1.52,
0.279,1524,93.3,12.16,1.52,
0.289,1854,93.3,12.16,1.52,
0.299,1854,93.3,12.16,1.52,
0.309,1854,93.3,12.16,1.52,
0.319,1854,93.4,12.16,1.52,
0.329,1773,93.3,12.16,1.52,
0.339,1773,93.4,12.16,1.52,
0.349,1773,93.3,12.16,1.34,
0.359,2034,93.3,12.16,0.80,
0.369,2034,93.3,12.16,0.80,
0.379,2034,93.3,12.16,0.79,
0.389,1881,93.3,12.16,0.80,
0.399,1881,93.3,12.16,0.80,
0.409,1881,93.3,12.16,0.79,
0.419,2098,93.3,12.16,0.80,
0.429,2098,93.3,12.16,0.80,
0.439,2098,93.3,12.16,0.89,
0.449,1911,93.4,12.16,0.90,
0.459,1911,93.3,12.16,0.90,
0.469,1911,93.3,12.16,0.89,
0.479,2107,93.4,12.16,0.90,
0.489,2107,93.3,12.16,0.90,
0.499,2107,93.3,12.16,0.89,
0.509,1925,93.3,12.16,0.90,
0.519,1925,93.3,12.16,0.93,
0.529,1925,93.3,12.16,0.93,
0.539,2116,93.3,12.16,0.94,
0.549,2116,93.3,12.16,0.94,
0.559,2116,93.3,12.16,0.93,
0.569,1936,93.3,12.16,0.94,
0.579,1936,93.3,12.16,0.94,
0.589,1936,93.4,12.16,0.93,
0.599,2118,93.3,12.16,0.96,
0.609,2118,93.3,12.16,0.98,
0.619,2118,93.3,12.16,0.97,
0.629,1921,93.3,12.16,0.98,
0.639,1921,93.3,12.16,0.98,
0.649,2114,93.3,12.16,0.97,
0.659,2114,93.3,12.16,0.98,
0.669,2114,93.3,12.16,0.97,
0.679,2114,93.3,12.16,1.01,
0.689,1932,93.3,12.16,1.06,
0.699,1932,93.3,12.16,1.06,
0.710,2113,93.3,12.16,1.05,
0.719,2113,93.3,12.16,1.06,
