Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,779,0.0,11.46,0.50,
0.009,779,0.0,11.27,0.50,
0.019,779,0.0,11.09,0.50,
0.029,779,0.0,10.98,0.50,
0.039,779,0.0,10.95,0.50,
0.049,779,0.0,10.96,0.50,
0.059,893,0.0,10.99,0.50,
0.069,893,0.0,11.03,0.50,
0.079,893,0.0,11.07,0.50,
0.089,893,0.0,11.11,0.50,
0.099,893,0.0,11.14,0.50,
0.109,893,0.0,11.17,0.50,
0.119,960,0.0,11.16,0.50,
0.129,960,0.0,11.00,0.50,
0.139,960,0.0,10.81,0.50,
0.149,960,0.0,10.65,0.50,
0.159,960,0.0,10.57,0.50,
0.169,960,0.0,10.57,0.50,
0.179,986,0.0,10.60,0.50,
0.189,986,0.0,10.65,0.50,
0.199,986,0.0,10.70,0.50,
0.209,986,0.0,10.75,0.50,
0.219,986,0.0,10.80,0.50,
0.229,986,0.0,10.84,0.50,
0.239,1016,0.0,10.83,0.50,
0.249,1016,1.9,10.69,0.50,
0.259,1016,6.1,10.55,0.50,
0.269,1016,10.3,10.54,0.50,
0.279,1016,15.2,10.59,0.50,
0.289,1016,19.8,10.64,0.50,
0.299,1005,24.6,10.69,0.50,
0.309,1005,29.5,10.74,0.50,
0.319,1005,34.1,10.79,0.50,
0.329,1005,39.1,10.83,0.50,
0.339,1005,44.0,10.87,0.50,
0.349,1005,48.8,10.91,0.50,
0.359,1021,53.7,10.95,0.50,
0.369,1021,58.3,10.99,0.50,
0.379,1021,63.2,11.03,0.50,
0.389,1021,67.8,11.07,0.50,
0.399,1021,71.9,11.11,0.50,
0.409,1021,76.2,11.14,0.50,
0.419,1007,80.0,11.17,0.50,
0.429,1007,84.1,11.20,0.50,
0.439,1007,87.6,11.23,0.50,
0.449,1007,90.1,11.26,0.50,
0.459,1007,91.3,11.29,0.50,
0.469,1007,91.6,11.32,0.50,
0.479,1032,91.7,11.35,0.50,
0.489,1032,91.9,11.38,0.50,
0.499,1032,92.0,11.41,0.50,
0.509,1032,92.1,11.44,0.50,
0.519,1032,92.1,11.46,0.50,
0.529,1032,92.1,11.48,0.50,
0.539,1010,92.2,11.50,0.50,
0.549,1010,92.2,11.52,0.50,
0.559,1010,92.3,11.54,0.50,
0.569,1010,92.3,11.56,0.50,
0.579,1010,92.3,11.58,0.50,
0.589,1034,92.3,11.60,0.50,
0.599,1034,92.4,11.62,0.50,
0.609,1034,92.4,11.64,0.50,
0.619,1034,92.4,11.66,0.50,
0.629,1034,92.3,11.68,0.50,
0.639,1034,92.4,11.70,0.50,
0.649,1013,92.4,11.72,0.50,
0.659,1013,92.4,11.74,0.50,
0.669,1013,92.4,11.76,0.50,
0.679,1013,92.4,11.78,0.50,
0.689,1013,92.4,11.79,0.50,
0.699,1013,92.5,11.80,0.50,
0.709,1036,92.5,11.81,0.50,
0.719,1036,92.5,11.82,0.50,
0.729,1036,92.5,11.83,0.50,
0.739,1036,92.5,11.84,0.50,
0.749,1036,92.5,11.85,0.50,
0.759,1036,92.5,11.86,0.50,
0.769,1003,92.5,11.87,0.50,
0.779,1003,92.5,11.88,0.50,
0.789,1003,92.5,11.89,0.50,
0.799,1003,92.5,11.90,0.50,
0.809,1003,92.5,11.91,0.50,
0.819,1003,92.5,11.92,0.50,
0.829,1033,92.5,11.93,0.50,
0.839,1033,92.5,11.94,0.50,
0.849,1033,92.5,11.95,0.50,
0.859,1033,92.5,11.96,0.50,
0.869,1033,92.5,11.97,0.50,
0.879,1033,92.5,11.98,0.50,
0.889,1012,92.5,11.99,0.50,
0.899,1012,92.5,12.00,0.50,
0.909,1012,92.5,12.01,0.50,
0.919,1012,92.5,12.02,0.50,
0.929,1012,92.5,12.03,0.50,
0.939,1012,92.5,12.04,0.50,
0.949,1036,92.5,12.05,0.50,
0.959,1036,92.5,12.06,0.50,
0.969,1036,92.5,12.07,0.50,
0.979,1036,92.6,12.08,0.50,
0.989,1036,92.5,12.09,0.50,
0.999,1012,92.5,12.10,0.50,
1.009,1012,92.5,12.11,0.50,
1.019,1012,92.5,12.11,0.50,
1.029,1012,92.5,12.11,0.50,
1.039,1012,92.5,12.11,0.50,
1.049,1012,92.5,12.11,0.50,
1.059,1035,92.5,12.11,0.50,
1.069,1035,92.6,12.11,0.50,
1.079,1035,92.5,12.12,0.50,
1.089,1035,92.5,12.13,0.50,
1.099,1035,92.6,12.13,0.50,
1.109,1035,92.5,12.13,0.50,
1.119,1011,92.5,12.13,0.50,
1.129,1011,92.6,12.13,0.50,
1.139,1011,92.6,12.13,0.50,
1.149,1011,92.5,12.13,0.50,
1.159,1011,92.5,12.13,0.50,
1.169,1011,92.5,12.13,0.50,
1.179,1035,92.6,12.13,0.50,
1.189,1035,92.5,12.13,0.50,
1.199,1035,92.5,12.13,0.50,
1.209,1035,92.6,12.13,0.50,
1.219,1035,92.5,12.13,0.50,
1.229,1035,92.5,12.13,0.50,
1.239,1014,92.6,12.13,0.50,
1.249,1014,92.6,12.13,0.50,
1.259,1014,92.5,12.13,0.50,
1.269,1014,92.5,12.13,0.50,
1.279,1014,92.6,12.13,0.50,
1.289,1014,92.5,12.13,0.50,
1.299,1036,92.5,12.13,0.50,
1.309,1036,92.6,12.13,0.50,
1.319,1036,92.6,12.13,0.50,
1.329,1036,92.5,12.13,0.50,
1.339,1036,92.6,12.13,0.50,
1.349,1036,92.6,12.13,0.50,
1.359,993,92.5,12.13,0.50,
1.369,993,92.6,12.13,0.50,
1.379,993,92.6,12.13,0.50,
1.389,993,92.6,12.13,0.50,
1.399,993,92.6,12.13,0.50,
1.409,993,92.6,12.13,0.50,
1.419,1026,92.6,12.13,0.50,
1.429,1026,92.5,12.13,0.50,
1.439,1026,92.6,12.13,0.50,
1.449,1026,92.6,12.13,0.50,
1.459,1026,92.5,12.13,0.50,
1.469,1026,92.6,12.13,0.50,
1.479,1009,92.6,12.13,0.50,
1.489,1009,92.6,12.13,0.50,
1.499,1009,92.6,12.13,0.50,
1.509,1009,92.6,12.13,0.50,
1.519,1009,92.6,12.13,0.50,
1.529,1032,92.6,12.13,0.50,
1.539,1032,92.6,12.13,0.50,
1.549,1032,92.6,12.13,0.50,
1.559,1032,92.6,12.13,0.50,
1.569,1032,92.6,12.13,0.50,
1.579,1032,92.6,12.13,0.50,
1.590,991,92.6,12.13,0.50,
1.599,991,92.6,12.13,0.50,
1.609,991,92.6,12.13,0.50,
1.619,991,92.6,12.13,0.50,
1.629,991,92.6,12.13,0.50,
1.639,991,92.6,12.13,0.50,
1.649,1025,92.6,12.13,0.50,
1.659,1025,92.6,12.13,0.50,
1.669,1025,92.6,12.13,0.50,
1.679,1025,92.6,12.13,0.50,
1.689,1025,92.6,12.13,0.50,
1.699,1025,92.6,12.13,0.50,
1.709,1006,92.6,12.13,0.50,
1.719,1006,92.6,12.13,0.50,
1.729,1006,92.6,12.13,0.50,
1.739,1006,92.6,12.13,0.50,
1.749,1006,92.6,12.13,0.50,
1.759,1006,92.6,12.13,0.50,
1.769,1030,92.6,12.13,0.50,
1.779,1030,92.6,12.13,0.50,
1.789,1030,92.6,12.13,0.50,
1.799,1030,92.6,12.13,0.50,
1.809,1030,92.6,12.13,0.50,
1.819,1030,92.6,12.13,0.50,
1.829,987,92.6,12.13,0.50,
1.839,987,92.6,12.13,0.50,
1.849,987,92.6,12.13,0.50,
1.859,987,92.6,12.13,0.50,
1.869,987,92.6,12.13,0.50,
1.879,987,92.6,12.13,0.50,
1.889,1022,92.6,12.13,0.50,
1.899,1022,92.6,12.13,0.50,
1.909,1022,92.6,12.13,0.50,
1.919,1022,92.6,12.13,0.50,
1.929,1022,92.6,12.13,0.50,
1.939,1022,92.6,12.13,0.50,
1.949,1004,92.6,12.13,0.50,
1.959,1004,92.6,12.13,0.50,
1.969,1004,92.6,12.13,0.50,
1.979,1004,92.6,12.13,0.50,
1.989,1004,92.6,12.13,0.50,
1.999,1004,92.6,12.13,0.50,
2.009,1027,92.6,12.13,0.50,
2.019,1027,92.6,12.13,0.50,
2.029,1027,92.6,12.13,0.50,
2.039,1027,92.6,12.13,0.50,
2.049,1027,92.6,12.13,0.50,
2.059,1027,92.6,12.13,0.50,
2.069,1005,92.6,12.13,0.50,
2.079,1005,92.6,12.13,0.50,
2.089,1005,92.6,12.13,0.50,
2.099,1005,92.6,12.13,0.50,
2.109,1005,92.6,12.13,0.50,
2.119,1005,92.6,12.13,0.50,
2.129,1028,92.6,12.13,0.50,
2.139,1028,92.6,12.13,0.50,
2.149,1028,92.6,12.13,0.50,
2.159,1028,92.6,12.13,0.50,
2.169,1028,92.6,12.13,0.50,
2.179,1028,92.6,12.13,0.50,
2.189,1013,92.6,12.13,0.50,
2.199,1013,92.6,12.13,0.50,
2.209,1013,92.6,12.13,0.50,
2.219,1013,92.6,12.13,0.50,
2.229,1013,92.6,12.13,0.50,
2.239,1035,92.6,12.13,0.50,
2.249,1035,92.6,12.13,0.50,
2.259,1035,92.6,12.13,0.50,
2.269,1035,92.6,12.13,0.50,
2.279,1035,92.6,12.13,0.50,
2.289,1035,92.6,12.13,0.50,
2.299,1011,92.6,12.13,0.50,
2.309,1011,92.6,12.13,0.50,
2.319,1011,92.6,12.13,0.50,
2.329,1011,92.6,12.13,0.50,
2.339,1011,92.6,12.13,0.50,
2.349,1011,92.6,12.13,0.50,
2.359,1030,92.6,12.13,0.50,
2.369,1030,92.6,12.13,0.50,
2.379,1030,92.6,12.13,0.50,
2.389,1030,92.6,12.13,0.50,
2.399,1030,92.6,12.13,0.50,
2.409,1030,92.6,12.13,0.50,
2.419,1008,92.6,12.13,0.50,
2.429,1008,92.6,12.13,0.50,
2.439,1008,92.6,12.13,0.50,
2.449,1008,92.6,12.13,0.50,
2.459,1008,92.6,12.13,0.50,
2.469,1008,92.6,12.13,0.50,
2.479,1029,92.6,12.13,0.50,
2.489,1029,92.6,12.13,0.50,
2.499,1029,92.6,12.13,0.50,
2.509,1029,92.6,12.13,0.50,
2.519,1029,92.6,12.13,0.50,
2.529,1029,92.6,12.13,0.50,
2.539,1008,92.6,12.13,0.50,
2.549,1008,92.6,12.13,0.50,
2.559,1008,92.6,12.13,0.50,
2.569,1008,92.6,12.13,0.50,
2.579,1008,92.6,12.13,0.50,
2.589,1008,92.6,12.13,0.50,
2.599,1030,92.6,12.13,0.50,
2.609,1030,92.6,12.13,0.50,
2.619,1030,92.6,12.13,0.50,
2.629,1030,92.6,12.13,0.50,
2.639,1030,92.6,12.13,0.50,
2.649,1030,92.6,12.13,0.50,
2.659,1006,92.6,12.13,0.50,
2.669,1006,92.6,12.13,0.50,
2.679,1006,92.6,12.13,0.50,
2.689,1006,92.6,12.13,0.50,
2.699,1006,92.6,12.13,0.50,
2.710,1028,92.6,12.13,0.50,
2.719,1028,92.6,12.13,0.50,
2.729,1028,92.6,12.13,0.50,
2.739,1028,92.6,12.13,0.50,
2.749,1028,92.6,12.13,0.50,
2.759,1028,92.6,12.13,0.50,
2.769,1004,92.6,12.13,0.50,
2.779,1004,92.6,12.13,0.50,
2.789,1004,92.6,12.13,0.50,
2.799,1004,92.6,12.13,0.50,
2.809,1004,92.6,12.13,0.50,
2.819,1004,92.6,12.13,0.50,
2.829,1029,92.7,12.13,0.50,
2.839,1029,92.6,12.13,0.50,
2.849,1029,92.6,12.13,0.50,
2.859,1029,92.6,12.13,0.50,
2.869,1029,92.6,12.13,0.50,
2.879,1029,92.6,12.13,0.50,
2.889,1005,92.6,12.13,0.50,
2.899,1005,92.6,12.13,0.50,
2.909,1005,92.6,12.13,0.50,
2.919,1005,92.6,12.13,0.50,
2.929,1005,92.6,12.13,0.50,
2.939,1005,92.6,12.13,0.50,
2.949,1027,92.6,12.13,0.50,
2.959,1027,92.6,12.13,0.50,
2.969,1027,92.6,12.13,0.50,
2.979,1027,92.6,12.13,0.50,
2.989,1027,92.6,12.13,0.50,
2.999,1027,92.6,12.13,0.50,
3.009,1004,92.6,12.13,0.50,
3.019,1004,92.6,12.13,0.50,
3.029,1004,92.6,12.13,0.50,
3.039,1004,92.6,12.13,0.50,
3.049,1004,92.6,12.13,0.50,
3.059,1004,92.6,12.13,0.50,
3.069,1030,92.6,12.13,0.50,
3.079,1030,92.6,12.13,0.50,
3.089,1030,92.6,12.13,0.50,
3.099,1030,92.6,12.13,0.50,
3.109,1030,92.6,12.13,0.50,
3.119,1030,92.6,12.13,0.50,
3.129,1006,92.6,12.13,0.50,
3.139,1006,92.6,12.13,0.50,
3.149,1006,92.6,12.13,0.50,
3.159,1006,92.6,12.13,0.50,
3.169,1006,92.6,12.13,0.50,
3.179,1006,92.6,12.13,0.50,
3.189,1028,92.6,12.13,0.50,
3.199,1028,92.6,12.13,0.50,
3.209,1028,92.6,12.13,0.50,
3.219,1028,92.6,12.13,0.50,
3.229,1028,92.6,12.13,0.50,
3.239,1028,92.6,12.13,0.50,
3.249,1006,92.6,12.13,0.50,
3.259,1006,92.6,12.13,0.50,
3.269,1006,92.6,12.13,0.50,
3.279,1006,92.6,12.13,0.50,
3.289,1006,92.6,12.13,0.50,
3.300,1026,92.7,12.13,0.50,
3.309,1026,92.6,12.13,0.50,
3.319,1026,92.6,12.13,0.50,
3.329,1026,92.6,12.13,0.50,
3.339,1026,92.6,12.13,0.50,
3.349,1026,92.6,12.13,0.50,
3.359,1007,92.7,12.13,0.50,
3.369,1007,92.6,12.13,0.50,
3.379,1007,92.6,12.13,0.50,
3.389,1007,92.6,12.13,0.50,
3.399,1007,92.6,12.13,0.50,
3.409,1007,92.6,12.13,0.50,
3.419,1031,92.6,12.13,0.50,
3.429,1031,92.6,12.13,0.50,
3.439,1031,92.6,12.13,0.50,
3.449,1031,92.6,12.13,0.50,
3.459,1031,92.6,12.13,0.50,
3.469,1031,92.6,12.13,0.50,
3.479,1008,92.6,12.13,0.50,
3.489,1008,92.6,12.13,0.50,
3.499,1008,92.6,12.13,0.50,
3.509,1008,92.6,12.13,0.50,
3.519,1008,92.7,12.13,0.50,
3.529,1008,92.6,12.13,0.50,
3.539,1029,92.6,12.13,0.50,
3.549,1029,92.6,12.13,0.50,
3.559,1029,92.6,12.13,0.50,
3.569,1029,92.6,12.13,0.50,
3.579,1029,92.3,12.13,0.50,
3.589,1029,89.1,12.13,0.50,
3.599,1029,83.6,12.13,0.50,
3.609,912,76.8,12.13,0.50,
3.619,912,69.2,12.13,0.50,
3.629,912,59.8,12.13,0.50,
3.639,912,49.4,12.13,0.50,
3.649,912,38.7,12.13,0.50,
3.659,912,28.3,12.13,0.50,
3.669,912,17.6,12.13,0.50,
3.679,848,8.0,12.09,0.50,
3.689,848,0.0,11.96,0.50,
3.699,848,0.0,11.80,0.50,
3.709,848,0.0,11.66,0.50,
3.719,848,0.0,11.59,0.50,
3.729,848,0.0,11.58,0.50,
3.739,848,0.0,11.59,0.50,
3.749,848,0.0,11.61,0.50,
3.759,739,0.0,11.63,0.50,
3.769,739,0.0,11.65,0.50,
3.779,739,0.0,11.67,0.50,
3.789,739,0.0,11.69,0.50,
3.799,739,0.0,11.71,0.50,
3.809,739,0.0,11.73,0.50,
3.819,739,0.0,11.75,0.50,
3.829,739,0.0,11.77,0.50,
3.839,739,0.0,11.78,0.50,
3.849,656,0.0,11.75,0.50,
3.859,656,0.0,11.62,0.50,
3.869,656,0.0,11.45,0.50,
3.879,656,0.0,11.28,0.50,
3.889,656,0.0,11.13,0.50,
3.899,656,0.0,11.02,0.50,
3.909,656,0.0,10.97,0.50,
3.919,656,0.0,10.97,0.50,
3.929,656,0.0,11.00,0.50,
3.939,656,0.0,11.04,0.50,
3.949,656,0.0,11.08,0.50,
3.959,656,0.0,11.12,0.50,
3.969,656,0.0,11.15,0.50,
