Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,623,93.3,12.19,1.51,
0.009,623,93.3,12.19,1.52,
0.019,623,93.3,12.19,1.52,
0.029,623,93.3,12.19,1.52,
0.039,623,93.3,12.19,1.52,
0.049,623,93.3,12.19,1.51,
0.060,844,93.3,12.19,1.52,
0.069,844,93.3,12.19,1.52,
0.079,844,93.3,12.19,1.52,
0.089,844,93.3,12.19,1.52,
0.099,844,93.3,12.19,1.52,
0.109,844,93.3,12.19,1.52,
0.119,844,93.3,12.19,1.51,
0.129,913,93.3,12.19,1.52,
0.139,913,93.3,12.19,1.52,
0.149,913,93.3,12.19,1.52,
0.159,913,93.3,12.19,1.52,
0.169,913,93.3,12.19,1.52,
0.179,913,93.3,12.19,1.52,
0.189,983,93.3,12.19,1.52,
0.199,983,93.3,12.19,1.52,
0.209,983,93.3,12.19,1.52,
0.219,983,93.3,12.19,1.52,
0.229,983,93.3,12.19,1.52,
0.239,983,93.3,12.19,1.52,
0.249,980,93.3,12.19,1.52,
0.259,980,93.3,12.19,1.52,
0.269,980,93.3,12.19,1.52,
0.279,980,93.3,12.19,1.52,
0.289,980,93.3,12.19,1.52,
0.299,980,93.3,12.19,1.52,
0.309,1024,93.3,12.19,1.52,
0.319,1024,93.3,12.19,1.52,
0.329,1024,93.3,12.19,1.52,
0.339,1024,93.3,12.19,1.52,
0.349,1024,93.3,12.19,1.52,
0.359,1024,93.3,12.19,1.52,
0.369,1019,93.3,12.19,1.52,
0.379,1019,93.3,12.19,1.52,
0.389,1019,93.3,12.19,1.52,
0.399,1019,93.3,12.19,1.52,
0.409,1507,93.3,12.19,1.52,
0.419,1507,93.3,12.19,1.40,
0.429,1507,93.3,12.19,1.38,
0.439,1507,93.3,12.19,1.38,
0.449,1484,93.3,12.19,1.38,
0.459,1484,93.3,12.19,1.39,
0.469,1484,93.3,12.19,1.39,
0.479,1828,93.3,12.19,1.38,
0.489,1828,93.3,12.19,1.39,
0.499,1828,93.3,12.19,1.05,
0.509,1828,93.3,12.19,0.92,
0.519,1747,93.3,12.19,0.92,
0.529,1747,93.3,12.19,0.92,
0.539,1747,93.3,12.19,0.91,
0.549,2045,93.3,12.19,0.92,
0.559,2045,93.3,12.19,0.92,
0.569,2045,93.3,12.19,0.91,
0.579,1917,93.3,12.19,0.89,
0.589,1917,93.3,12.19,0.85,
0.599,1917,93.3,12.19,0.85,
0.609,2116,93.3,12.19,0.86,
0.619,2116,93.3,12.19,0.86,
0.629,2116,93.3,12.19,0.85,
0.639,1954,93.3,12.19,0.86,
0.649,1954,93.3,12.19,0.86,
0.659,2136,93.3,12.19,0.86,
0.669,2136,93.3,12.19,0.88,
0.679,2136,93.3,12.19,0.88,
0.689,2136,93.3,12.19,0.88,
0.699,1956,93.3,12.19,0.88,
0.709,1956,93.3,12.19,0.88,
0.719,2152,93.3,12.19,0.88,
0.729,2152,93.3,12.19,0.88,
0.739,2152,93.3,12.19,0.89,
0.750,1964,93.3,12.19,0.91,
0.759,1964,93.3,12.19,0.92,
0.769,1964,93.3,12.19,0.92,
0.779,2130,93.3,12.19,0.91,
0.789,2130,93.3,12.19,0.92,
0.799,2130,93.3,12.19,0.92,
0.809,1958,93.3,12.19,0.91,
0.819,1958,93.3,12.19,0.92,
0.829,1958,93.3,12.19,0.95,
0.839,2129,93.3,12.19,0.95,
0.849,2129,93.3,12.19,0.95,
0.859,2129,93.3,12.19,0.95,
