Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,887,92.1,12.18,1.52,
0.009,887,92.1,12.18,1.52,
0.019,887,92.1,12.18,1.52,
0.029,887,92.1,12.18,1.52,
0.039,887,92.1,12.18,1.51,
0.049,938,92.1,12.18,1.52,
0.059,938,92.1,12.18,1.52,
0.069,938,92.1,12.18,1.52,
0.079,938,92.1,12.18,1.52,
0.089,938,92.1,12.18,1.52,
0.099,938,92.1,12.18,1.52,
0.109,995,92.1,12.18,1.52,
0.119,995,92.1,12.18,1.52,
0.129,995,92.1,12.18,1.52,
0.139,995,92.1,12.18,1.52,
0.149,995,92.1,12.18,1.52,
0.159,995,92.1,12.18,1.52,
0.169,997,92.1,12.18,1.52,
0.179,997,92.1,12.18,1.52,
0.189,997,92.1,12.18,1.52,
0.199,997,92.1,12.18,1.52,
0.209,997,92.1,12.18,1.52,
0.219,997,92.1,12.18,1.52,
0.229,1038,92.1,12.18,1.52,
0.239,1038,92.1,12.18,1.52,
0.249,1038,92.1,12.18,1.52,
0.259,1038,92.1,12.18,1.52,
0.269,1038,92.1,12.18,1.52,
0.279,1038,92.1,12.18,1.52,
0.289,1023,92.1,12.18,1.52,
0.299,1023,92.1,12.18,1.52,
0.309,1023,92.1,12.18,1.52,
0.319,1023,92.1,12.18,1.52,
0.329,1023,92.1,12.18,1.52,
0.339,1023,92.1,12.18,1.52,
0.349,1055,92.1,12.18,1.52,
0.359,1055,92.1,12.18,1.52,
0.369,1055,92.1,12.18,1.52,
0.379,1055,92.1,12.18,1.52,
0.389,1055,92.1,12.18,1.52,
0.400,1034,92.1,12.18,1.52,
0.409,1034,92.1,12.18,1.52,
0.419,1034,92.1,12.18,1.52,
0.429,1034,92.1,12.18,1.52,
0.439,1034,92.1,12.18,1.52,
0.449,1034,92.1,12.18,1.52,
0.459,1069,92.1,12.18,1.52,
0.469,1069,92.1,12.18,1.52,
0.479,1069,92.1,12.18,1.52,
0.489,1069,92.1,12.18,1.52,
0.499,1069,92.1,12.18,1.52,
0.509,1069,92.1,12.18,1.51,
0.519,1036,92.1,12.18,1.52,
0.529,1036,92.1,12.18,1.52,
0.539,1036,92.1,12.18,1.52,
0.549,1036,92.1,12.18,1.52,
0.559,1498,92.1,12.18,1.52,
0.569,1498,92.1,12.18,1.52,
0.579,1498,92.1,12.18,1.52,
0.589,1498,92.1,12.18,1.52,
0.599,1473,92.1,12.18,1.52,
0.609,1473,92.1,12.18,1.52,
0.619,1473,92.1,12.18,1.48,
0.629,1825,92.1,12.18,1.38,
0.639,1825,92.1,12.18,1.39,
0.649,1825,92.1,12.18,1.39,
