Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,714,97.2,12.18,1.52,
0.009,714,97.2,12.18,1.52,
0.019,714,97.2,12.18,1.52,
0.029,714,97.2,12.18,1.52,
0.039,714,97.2,12.18,1.51,
0.050,884,97.2,12.18,1.50,
0.059,884,97.2,12.18,1.51,
0.069,884,97.3,12.18,1.52,
0.079,884,97.3,12.18,1.52,
0.089,884,97.2,12.18,1.52,
0.099,1387,97.2,12.18,1.52,
0.109,1387,97.2,12.18,1.52,
0.119,1387,97.2,12.18,1.52,
0.129,1387,97.2,12.18,1.52,
0.139,1357,97.3,12.18,1.52,
0.149,1357,97.3,12.18,1.52,
0.159,1357,97.3,12.18,1.52,
0.171,1357,97.3,12.18,1.52,
0.179,1644,97.3,12.18,1.52,
0.189,1644,97.3,12.18,1.52,
0.199,1644,97.2,12.18,1.52,
0.209,1644,97.3,12.18,1.52,
0.219,1629,97.3,12.18,1.52,
0.229,1629,97.3,12.18,1.52,
0.239,1629,97.3,12.18,1.52,
0.249,1930,97.3,12.18,1.40,
0.259,1930,97.3,12.19,0.80,
0.269,1930,97.3,12.19,0.80,
0.279,1782,97.3,12.19,0.80,
0.289,1782,97.3,12.19,0.80,
0.299,1782,97.3,12.19,0.80,
0.309,2001,97.3,12.19,0.80,
0.319,2001,97.3,12.19,0.80,
0.329,2001,97.3,12.19,0.80,
0.339,1832,97.3,12.19,0.73,
0.349,1832,97.3,12.19,0.74,
0.359,1832,97.3,12.19,0.74,
0.369,2052,97.3,12.19,0.73,
0.379,2052,97.3,12.19,0.74,
0.389,2052,97.3,12.19,0.74,
0.399,1882,97.3,12.19,0.73,
0.409,1882,97.3,12.19,0.74,
0.419,1882,97.3,12.19,0.75,
0.429,2106,97.3,12.19,0.75,
0.439,2106,97.3,12.19,0.76,
0.449,2106,97.4,12.19,0.76,
0.459,1956,97.3,12.19,0.75,
0.469,1956,97.4,12.19,0.76,
0.479,1956,97.3,12.19,0.76,
0.489,2193,97.3,12.19,0.75,
0.499,2193,97.3,12.19,0.77,
0.509,2193,97.4,12.19,0.77,
0.519,2080,97.3,12.19,0.77,
0.529,2080,97.4,12.19,0.77,
0.539,2080,97.3,12.19,0.77,
0.549,2312,97.3,12.19,0.77,
0.559,2312,97.3,12.19,0.78,
0.569,2190,97.3,12.19,0.77,
0.579,2190,97.4,12.19,0.77,
0.590,2190,97.4,12.19,0.76,
0.599,2408,97.4,12.19,0.77,
0.609,2408,97.3,12.19,0.77,
0.619,2294,97.4,12.19,0.76,
0.629,2294,97.4,12.19,0.77,
0.639,2294,97.4,12.19,0.77,
0.649,2498,97.4,12.19,0.77,
0.659,2498,97.4,12.20,0.77,
0.669,2409,97.4,12.20,0.77,
0.679,2409,97.4,12.20,0.78,
0.689,2409,97.4,12.20,0.78,
0.699,2621,97.4,12.20,0.78,
0.709,2621,97.4,12.20,0.78,
0.719,2546,97.4,12.20,0.78,
0.729,2546,97.4,12.20,0.78,
0.739,2753,97.4,12.20,0.78,
0.749,2753,97.4,12.21,0.80,
0.759,2685,97.4,12.21,0.80,
0.769,2685,97.4,12.21,0.80,
0.779,2884,97.4,12.21,0.80,
0.789,2884,97.4,12.21,0.80,
0.799,2826,97.4,12.21,0.80,
0.809,2826,97.4,12.21,0.80,
0.822,3010,97.4,12.21,0.80,
0.829,3010,97.4,12.21,0.86,
0.839,3010,97.4,12.21,0.86,
0.849,2960,97.4,12.21,0.87,
0.860,3138,97.4,12.21,0.87,
0.869,3138,97.4,12.21,0.87,
0.879,3091,97.4,12.21,0.87,
0.889,3091,97.5,12.21,0.87,
0.899,3266,97.5,12.21,0.87,
0.909,3266,97.5,12.21,0.91,
0.919,3213,97.5,12.21,0.92,
0.929,3213,97.5,12.21,0.92,
0.939,3380,97.5,12.21,0.92,
0.949,3380,97.5,12.21,0.92,
0.959,3325,97.5,12.21,0.92,
0.969,3500,97.5,12.21,0.92,
0.979,3500,97.5,12.21,0.92,
0.989,3436,97.5,12.22,0.92,
0.999,3436,97.5,12.22,0.93,
1.009,3616,97.5,12.22,0.93,
1.019,3548,97.5,12.22,0.93,
1.029,3548,97.5,12.22,0.94,
1.039,3722,97.5,12.22,0.93,
1.049,3722,97.5,12.22,0.93,
1.059,3650,97.6,12.22,0.93,
1.069,3825,97.5,12.22,0.94,
1.079,3825,97.5,12.22,0.97,
1.089,3748,97.5,12.22,0.97,
1.100,3927,97.5,12.22,0.97,
1.109,3927,97.5,12.22,0.97,
1.119,3854,97.5,12.22,0.96,
1.129,4022,97.5,12.22,0.97,
1.139,4022,97.5,12.22,0.97,
1.149,3957,97.6,12.23,0.97,
1.160,4116,97.5,12.23,0.98,
1.169,4116,97.5,12.23,0.99,
1.179,4056,97.6,12.23,0.98,
1.189,4210,97.5,12.23,0.99,
1.199,4210,97.6,12.23,0.99,
1.209,4143,97.6,12.23,0.98,
1.219,4298,97.6,12.23,0.98,
1.229,4298,97.6,12.23,0.99,
1.239,4231,97.6,12.23,1.02,
1.249,4384,97.6,12.23,1.02,
1.259,4317,97.6,12.23,1.02,
1.269,4317,97.6,12.23,1.02,
1.279,4470,97.6,12.23,1.02,
1.289,4406,97.6,12.23,1.02,
1.299,4552,97.6,12.23,1.02,
1.309,4552,97.6,12.23,1.02,
1.319,4491,97.7,12.23,1.03,
1.329,4632,97.7,12.23,1.02,
1.339,4570,97.6,12.23,1.03,
1.349,4570,97.7,12.23,1.03,
1.359,4708,97.6,12.23,1.03,
1.369,4647,97.6,12.23,1.02,
1.379,4783,97.6,12.23,1.02,
1.390,4728,97.6,12.24,1.03,
1.399,4728,97.7,12.24,1.04,
1.409,4851,97.7,12.24,1.06,
1.419,4799,97.6,12.24,1.05,
1.429,4924,97.7,12.24,1.05,
1.439,4872,97.7,12.24,1.05,
1.449,4872,97.7,12.24,1.05,
1.459,4995,97.7,12.24,1.06,
1.469,4943,97.7,12.24,1.05,
1.481,5061,97.7,12.24,1.05,
1.489,5015,97.7,12.24,1.04,
1.499,5127,97.7,12.24,1.04,
1.509,5127,97.7,12.24,1.03,
1.519,5081,97.7,12.25,1.04,
1.529,5201,97.8,12.25,1.04,
1.539,5146,97.8,12.25,1.04,
1.549,5265,97.7,12.25,1.03,
1.559,5211,97.7,12.26,1.03,
1.569,5321,97.7,12.26,1.00,
1.579,5271,97.8,12.26,1.00,
1.589,5384,97.8,12.26,1.00,
1.599,5384,97.8,12.26,1.00,
1.609,5327,97.8,12.26,1.00,
1.619,5440,97.8,12.26,0.99,
1.629,5390,97.8,12.26,1.00,
1.639,5494,97.8,12.26,1.00,
1.649,5445,97.8,12.27,1.02,
1.659,5555,97.8,12.27,1.01,
1.669,5503,97.7,12.27,1.02,
1.679,5606,96.3,12.27,1.02,
1.689,5556,90.5,12.27,1.02,
1.700,5520,82.6,12.28,1.02,
1.709,5520,73.4,12.28,1.02,
1.719,5474,61.4,12.28,1.02,
1.729,5436,44.3,12.27,1.27,
1.739,5394,10.3,12.27,1.37,
1.749,5362,0.0,12.18,1.37,
1.759,5325,0.0,11.99,1.37,
1.769,5294,0.0,11.88,1.37,
1.779,5258,0.0,11.65,1.37,
1.790,5250,0.0,11.53,1.37,
1.799,5250,0.0,11.29,1.37,
1.809,5216,0.0,11.13,1.45,
1.819,5186,0.0,10.95,1.52,
1.829,5155,0.0,10.77,1.52,
1.839,5126,0.0,10.65,1.52,
1.849,5092,0.0,10.45,1.52,
1.860,5069,0.0,10.35,1.52,
1.869,5069,0.0,10.15,1.52,
1.879,5038,0.0,10.02,1.52,
1.889,5011,0.0,9.89,1.52,
1.899,4981,0.0,9.73,1.52,
1.910,4952,0.0,9.66,1.52,
1.920,4923,0.0,9.48,1.52,
1.929,4923,0.0,9.39,1.52,
1.940,4897,0.0,9.26,1.52,
1.949,4868,0.0,9.14,1.52,
1.959,4840,0.0,9.09,1.52,
1.969,4810,0.0,8.93,1.52,
1.979,4810,0.0,8.86,1.52,
1.989,4787,0.0,8.75,1.52,
1.999,4756,0.0,8.64,1.52,
2.009,4728,0.0,8.61,1.52,
2.020,4699,0.0,8.46,1.52,
2.029,4699,0.0,8.40,1.52,
2.039,4672,0.0,8.31,1.52,
2.049,4643,0.0,8.21,1.52,
2.059,4617,0.0,8.20,1.52,
2.069,4617,0.0,8.06,1.52,
2.079,4589,0.0,8.00,1.52,
2.089,4564,0.0,7.96,1.52,
2.099,4532,0.0,7.84,1.52,
2.109,4532,0.0,7.82,1.52,
2.119,4507,0.0,7.73,1.52,
2.132,4475,0.0,7.66,1.52,
2.139,4449,0.0,7.66,1.52,
2.149,4449,0.0,7.53,1.52,
2.159,4417,0.0,7.49,1.52,
2.169,4392,0.0,7.48,1.52,
2.179,4361,0.0,7.37,1.52,
2.189,4361,0.0,7.36,1.52,
2.199,4336,0.0,7.31,1.52,
2.209,4304,0.0,7.23,1.52,
2.219,4304,0.0,7.23,1.52,
2.229,4280,0.0,7.16,1.52,
2.241,4247,0.0,7.10,1.52,
2.249,4221,0.0,7.13,1.52,
2.259,4221,0.0,7.03,1.52,
2.269,4187,0.0,6.99,1.52,
2.279,4160,0.0,7.02,1.52,
2.289,4160,0.0,6.91,1.52,
2.299,4128,0.0,6.89,1.52,
2.309,4102,0.0,6.92,1.52,
2.319,4102,0.0,6.82,1.52,
2.329,4071,0.0,6.81,1.52,
2.339,4045,0.0,6.84,1.52,
2.349,4045,0.0,6.74,1.52,
2.359,4012,0.0,6.73,1.52,
2.369,3987,0.0,6.77,1.52,
2.379,3987,0.0,6.68,1.52,
2.389,3953,0.0,6.68,1.52,
2.399,3926,0.0,6.73,1.52,
2.409,3926,0.0,6.64,1.52,
2.419,3894,0.0,6.63,1.52,
2.429,3867,0.0,6.69,1.52,
2.439,3867,0.0,6.60,1.52,
2.449,3836,0.0,6.58,1.52,
2.460,3811,0.0,6.65,1.52,
2.469,3811,0.0,6.57,1.52,
2.479,3777,0.0,6.54,1.52,
2.489,3777,0.0,6.59,1.52,
2.499,3751,0.0,6.55,1.52,
2.509,3719,0.0,6.50,1.52,
2.519,3719,0.0,6.54,1.52,
2.529,3693,0.0,6.55,1.52,
2.539,3658,0.0,6.48,1.52,
