Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,830,0.0,11.36,1.52,
0.009,830,0.0,11.39,1.52,
0.019,830,0.0,11.42,1.52,
0.029,830,0.0,11.45,1.52,
0.039,830,0.0,11.47,1.52,
0.049,1152,0.0,11.39,1.52,
0.059,1152,0.0,11.20,1.52,
0.069,1152,0.0,11.02,1.52,
0.079,1152,0.0,10.91,1.52,
0.089,1152,0.0,10.89,1.52,
0.099,1103,0.0,10.91,1.52,
0.109,1103,0.0,10.95,1.52,
0.119,1103,0.0,10.99,1.52,
0.129,1103,0.0,11.03,1.52,
0.139,1103,0.0,11.07,1.52,
0.149,1103,0.0,11.11,1.52,
0.159,1060,0.0,11.06,1.52,
0.169,1060,0.0,10.89,1.52,
0.179,1060,0.0,10.71,1.52,
0.189,1060,0.0,10.59,1.52,
0.199,1060,0.0,10.55,1.52,
0.209,1060,0.0,10.56,1.52,
0.219,990,0.0,10.61,1.52,
0.229,990,0.0,10.66,1.52,
0.239,990,0.0,10.71,1.52,
0.249,990,0.0,10.76,1.52,
0.259,990,0.0,10.81,1.52,
0.269,990,0.0,10.85,1.52,
0.279,943,0.0,10.86,1.52,
0.289,943,0.0,10.75,1.52,
0.299,943,0.0,10.58,1.52,
0.309,943,0.0,10.43,1.52,
0.319,943,0.0,10.34,1.52,
0.329,943,0.0,10.33,1.52,
0.339,943,0.0,10.36,1.52,
0.349,866,0.0,10.42,1.52,
0.359,866,0.0,10.48,1.52,
0.369,866,0.0,10.53,1.52,
0.379,866,0.0,10.58,1.52,
0.389,866,0.0,10.63,1.52,
0.399,866,0.0,10.68,1.52,
0.409,1021,0.0,10.68,1.52,
0.419,1021,0.0,10.54,1.52,
0.429,1021,0.0,10.37,1.52,
0.439,1021,0.0,10.24,1.52,
0.449,1021,0.0,10.19,1.52,
0.459,1021,0.0,10.20,1.52,
0.469,964,0.0,10.25,1.52,
0.479,964,0.0,10.31,1.52,
0.489,964,0.0,10.37,1.52,
0.499,964,0.0,10.43,1.52,
0.509,964,0.0,10.49,1.22,
0.519,964,0.0,10.54,1.15,
0.529,1008,0.0,10.55,1.16,
0.539,1008,0.0,10.43,1.16,
0.549,1008,0.0,10.27,1.15,
0.559,1008,0.0,10.13,1.16,
0.569,1008,0.0,10.06,1.15,
0.579,1008,0.0,10.06,1.15,
0.589,1008,0.0,10.11,1.15,
0.599,945,0.0,10.17,1.15,
0.609,945,0.0,10.23,1.15,
0.619,945,0.0,10.29,1.15,
0.629,945,0.0,10.35,1.15,
0.639,945,0.0,10.41,1.15,
0.649,1112,0.0,10.40,1.15,
0.659,1112,0.0,10.25,1.15,
0.669,1112,0.0,10.09,1.11,
0.679,1112,0.0,9.98,1.05,
