Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,866,92.1,12.17,1.52,
0.009,866,92.1,12.17,1.52,
0.019,866,92.1,12.17,1.52,
0.029,866,92.1,12.17,1.52,
0.039,866,92.1,12.17,1.51,
0.049,949,92.1,12.17,1.52,
0.059,949,92.1,12.17,1.52,
0.069,949,92.1,12.17,1.52,
0.079,949,92.1,12.17,1.52,
0.089,949,92.1,12.17,1.52,
0.099,949,92.1,12.17,1.52,
0.109,970,92.1,12.17,1.52,
0.119,970,92.1,12.17,1.52,
0.129,970,92.2,12.17,1.52,
0.139,970,92.1,12.17,1.52,
0.149,970,92.1,12.17,1.52,
0.159,970,92.2,12.17,1.52,
0.169,1020,92.1,12.17,1.52,
0.179,1020,92.1,12.17,1.52,
0.189,1020,92.1,12.17,1.52,
0.199,1020,92.1,12.17,1.52,
0.209,1020,92.1,12.17,1.52,
0.219,1020,92.1,12.17,1.51,
0.229,1013,92.1,12.17,1.52,
0.239,1013,92.1,12.17,1.52,
0.249,1013,92.2,12.17,1.52,
0.259,1013,92.2,12.17,1.52,
0.269,1013,92.1,12.17,1.52,
0.279,1013,92.1,12.17,1.52,
0.289,1056,92.1,12.17,1.52,
0.299,1056,92.1,12.17,1.52,
0.309,1056,92.1,12.17,1.52,
0.319,1056,92.1,12.17,1.52,
0.329,1056,92.1,12.17,1.52,
0.339,1056,92.1,12.17,1.51,
0.349,1020,92.2,12.17,1.52,
0.359,1020,92.1,12.17,1.52,
0.369,1020,92.1,12.17,1.52,
0.379,1020,92.1,12.17,1.52,
0.389,1020,92.1,12.17,1.52,
0.399,1059,92.1,12.17,1.52,
0.409,1059,92.1,12.17,1.52,
0.419,1059,92.2,12.17,1.52,
0.429,1059,92.1,12.17,1.52,
0.439,1059,92.1,12.17,1.52,
0.449,1059,92.1,12.17,1.52,
0.459,1029,92.1,12.17,1.52,
0.469,1029,92.1,12.17,1.52,
0.479,1029,92.1,12.17,1.52,
0.489,1029,92.1,12.17,1.52,
0.499,1029,92.1,12.17,1.52,
0.509,1029,92.1,12.17,1.52,
0.519,1066,92.1,12.17,1.52,
0.529,1066,92.1,12.17,1.52,
0.539,1066,92.2,12.17,1.52,
0.549,1066,92.1,12.17,1.52,
0.559,1066,92.1,12.17,1.52,
0.569,1066,92.1,12.17,1.51,
0.579,1036,92.1,12.17,1.52,
0.589,1036,92.1,12.17,1.52,
0.599,1036,92.1,12.17,1.52,
0.609,1036,92.1,12.17,1.51,
0.619,1514,92.1,12.17,1.52,
0.629,1514,92.1,12.17,1.52,
0.639,1514,92.1,12.17,1.52,
0.649,1514,92.1,12.17,1.52,
0.659,1490,92.2,12.17,1.52,
0.669,1490,92.1,12.17,1.52,
0.679,1490,92.1,12.17,1.52,
0.689,1820,92.1,12.17,1.52,
0.699,1820,92.1,12.17,1.52,
0.709,1820,92.1,12.17,1.52,
0.719,1738,92.1,12.17,1.08,
0.729,1738,92.2,12.17,0.94,
0.739,1738,92.2,12.17,0.94,
0.749,2063,92.1,12.17,0.94,
0.759,2063,92.1,12.17,0.94,
0.769,2063,92.2,12.17,0.94,
0.779,2017,92.2,12.17,0.94,
0.789,2017,92.1,12.17,0.94,
0.799,2017,92.1,12.17,0.90,
0.809,2243,92.1,12.17,0.86,
0.819,2243,92.2,12.17,0.87,
0.829,2243,92.1,12.17,0.87,
0.839,2079,92.1,12.17,0.87,
0.849,2079,92.1,12.17,0.87,
0.859,2079,92.2,12.17,0.86,
0.869,2283,92.1,12.17,0.87,
0.879,2283,92.1,12.17,0.88,
0.889,2118,92.1,12.17,0.91,
0.899,2118,92.2,12.17,0.91,
0.909,2118,92.1,12.17,0.91,
0.919,2318,92.1,12.17,0.90,
0.929,2318,92.2,12.17,0.91,
0.939,2318,92.1,12.17,0.91,
0.949,2143,92.1,12.17,0.91,
0.959,2143,92.2,12.17,0.92,
0.969,2337,92.1,12.17,0.95,
0.979,2337,92.1,12.17,0.95,
0.989,2337,92.1,12.17,0.95,
0.999,2159,92.1,12.17,0.95,
1.009,2159,92.2,12.17,0.95,
1.019,2159,92.2,12.17,0.95,
1.029,2371,92.1,12.17,0.95,
1.039,2371,92.1,12.17,0.95,
1.049,2215,92.1,12.17,1.08,
1.059,2215,92.1,12.17,1.08,
1.069,2215,92.1,12.17,1.08,
1.079,2408,92.1,12.17,1.07,
1.089,2408,92.1,12.17,1.08,
1.099,2408,92.1,12.17,1.08,
1.109,2237,92.2,12.17,1.08,
1.119,2237,92.1,12.17,1.08,
1.129,2420,92.1,12.17,1.13,
1.139,2420,92.2,12.17,1.15,
1.149,2420,92.1,12.17,1.14,
1.159,2255,92.1,12.17,1.15,
1.169,2255,92.2,12.17,1.15,
1.179,2450,92.2,12.17,1.14,
1.189,2450,92.1,12.17,1.15,
1.199,2450,92.2,12.17,1.15,
1.209,2293,92.1,12.17,1.17,
1.219,2293,92.1,12.17,1.19,
1.229,2472,92.1,12.17,1.18,
1.239,2472,92.2,12.17,1.19,
1.249,2472,92.1,12.17,1.19,
1.259,2303,92.2,12.17,1.19,
1.269,2303,92.2,12.17,1.19,
1.279,2474,92.1,12.17,1.18,
1.289,2474,92.1,12.17,1.21,
1.299,2474,92.2,12.17,1.23,
1.309,2318,92.1,12.17,1.24,
1.319,2318,92.1,12.17,1.24,
1.329,2502,92.2,12.17,1.23,
1.339,2502,92.1,12.17,1.24,
1.349,2502,92.1,12.17,1.23,
1.359,2358,92.1,12.17,1.24,
1.369,2358,92.1,12.17,1.24,
1.379,2528,92.1,12.17,1.26,
1.389,2528,92.1,12.17,1.27,
1.399,2528,92.1,12.17,1.27,
1.409,2375,92.2,12.17,1.27,
