Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,1021,93.3,1.75,1.50,
0.009,1021,93.3,2.07,1.51,
0.019,1021,93.3,2.38,1.51,
0.029,1021,93.3,2.68,1.52,
0.039,1021,93.3,2.97,1.52,
0.049,1021,93.3,3.25,1.52,
0.059,1021,93.3,3.52,1.52,
0.069,0,93.3,3.78,1.52,
0.079,0,93.3,4.03,1.52,
0.089,0,93.3,4.28,1.52,
0.099,0,93.3,4.52,1.52,
0.109,0,93.3,4.75,1.52,
0.119,0,93.3,4.98,1.52,
0.129,0,93.3,5.20,1.52,
0.139,0,93.3,5.41,1.52,
0.149,0,93.3,5.62,1.52,
0.159,0,93.3,5.82,1.52,
0.169,0,93.3,6.01,1.52,
0.179,0,93.3,6.20,1.52,
0.189,0,93.3,6.38,1.52,
0.199,0,93.3,6.56,1.52,
0.209,0,93.3,6.73,1.52,
0.220,251,93.3,6.90,1.52,
0.229,251,93.3,7.06,1.52,
0.239,251,93.3,7.22,1.52,
0.249,251,93.3,7.37,1.52,
0.259,251,93.3,7.52,1.52,
0.269,251,93.3,7.66,1.52,
0.279,251,93.3,7.80,1.52,
0.289,251,93.3,7.93,1.52,
0.299,251,93.3,8.06,1.52,
0.309,251,93.3,8.19,1.52,
0.319,251,93.3,8.31,1.52,
0.329,251,93.3,8.43,1.52,
0.339,251,93.3,8.55,1.52,
0.349,0,93.3,8.66,1.52,
0.359,0,93.3,8.77,1.52,
0.369,0,93.3,8.87,1.52,
0.379,0,93.3,8.97,1.52,
0.389,0,93.3,9.07,1.52,
0.399,0,93.3,9.17,1.52,
0.409,0,93.3,9.26,1.52,
0.419,0,93.3,9.35,1.52,
0.429,0,93.3,9.44,1.52,
0.439,0,93.3,9.52,1.52,
0.449,0,93.3,9.60,1.52,
0.459,0,93.3,9.68,1.52,
0.469,0,93.3,9.76,1.52,
0.479,0,93.3,9.84,1.52,
0.489,0,93.3,9.91,1.52,
0.499,0,93.3,9.98,1.52,
