Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,850,96.8,12.27,1.52,
0.009,850,96.8,12.27,1.52,
0.019,850,96.8,12.27,1.52,
0.029,850,96.8,12.27,1.52,
0.039,850,96.8,12.27,1.51,
0.049,944,96.8,12.27,1.52,
0.059,944,96.8,12.27,1.52,
0.069,944,96.8,12.27,1.52,
0.079,944,96.8,12.27,1.52,
0.089,944,96.8,12.27,1.52,
0.099,944,96.8,12.27,1.52,
0.109,1020,96.8,12.27,1.52,
0.119,1020,96.8,12.27,1.52,
0.129,1020,96.8,12.27,1.52,
0.141,1020,96.8,12.27,1.52,
0.149,1020,96.8,12.27,1.52,
0.159,1020,96.8,12.27,1.52,
0.169,1031,96.8,12.27,1.52,
0.179,1031,96.8,12.27,1.52,
0.189,1031,96.9,12.27,1.52,
0.199,1031,96.9,12.27,1.52,
0.209,1031,96.9,12.27,1.52,
0.219,1075,96.9,12.27,1.51,
0.230,1075,96.8,12.27,1.52,
0.239,1075,96.8,12.27,1.52,
0.249,1075,96.9,12.27,1.52,
0.259,1075,96.9,12.27,1.52,
0.269,1075,96.9,12.27,1.51,
0.279,1057,96.9,12.27,1.40,
0.289,1057,96.9,12.27,1.08,
0.299,1057,96.9,12.27,1.08,
0.309,1057,96.9,12.27,1.08,
0.319,1057,96.9,12.27,1.08,
0.329,1057,96.9,12.27,1.08,
0.339,1094,96.9,12.27,1.09,
0.349,1094,96.9,12.27,1.09,
0.359,1094,96.9,12.27,1.08,
0.369,1094,96.9,12.27,0.97,
0.379,1094,96.9,12.27,0.96,
0.389,1062,96.9,12.27,0.96,
0.399,1062,96.9,12.27,0.96,
0.409,1062,96.9,12.27,0.97,
0.419,1062,97.0,12.27,0.97,
0.429,1062,96.9,12.27,0.97,
0.439,1062,96.9,12.27,0.97,
0.449,1098,96.9,12.27,0.98,
0.459,1098,96.9,12.27,0.98,
0.469,1098,96.9,12.27,0.98,
0.479,1098,96.9,12.27,0.98,
0.489,1098,96.9,12.27,0.98,
0.499,1064,96.9,12.27,0.97,
0.509,1064,96.9,12.27,0.97,
0.519,1064,97.0,12.27,0.98,
0.529,1064,96.9,12.27,1.06,
0.539,1064,96.9,12.27,1.10,
0.549,1064,96.9,12.27,1.10,
0.559,1102,96.9,12.27,1.10,
0.569,1102,96.9,12.27,1.10,
0.579,1102,96.9,12.27,1.10,
0.589,1102,96.9,12.27,1.10,
0.599,1102,96.9,12.27,1.10,
0.609,1065,97.0,12.27,1.16,
0.619,1065,97.0,12.27,1.25,
0.629,1065,97.0,12.27,1.25,
0.639,1065,97.0,12.27,1.26,
0.649,1065,96.9,12.27,1.26,
0.659,1065,97.0,12.27,1.26,
0.669,1101,96.9,12.27,1.26,
0.679,1101,97.0,12.27,1.26,
0.689,1101,96.9,12.27,1.30,
0.699,1101,97.0,12.27,1.40,
0.709,1101,97.0,12.27,1.41,
0.719,1101,97.0,12.27,1.39,
0.729,1069,97.0,12.27,1.39,
0.739,1069,97.1,12.27,1.40,
0.749,1069,97.0,12.27,1.40,
0.760,1539,97.1,12.27,1.40,
0.769,1539,97.0,12.27,1.41,
0.779,1539,97.0,12.27,1.40,
0.789,1539,97.0,12.27,1.40,
0.799,1514,97.0,12.27,1.40,
0.809,1514,97.0,12.27,1.40,
0.819,1514,97.1,12.27,1.40,
0.829,1514,97.1,12.27,1.40,
0.839,1845,97.0,12.27,1.41,
0.849,1845,97.1,12.27,1.40,
0.859,1845,97.1,12.27,0.97,
0.869,1732,97.1,12.27,0.92,
0.881,1732,97.1,12.27,0.92,
0.889,1732,97.1,12.27,0.92,
0.899,1986,97.1,12.27,0.92,
0.909,1986,97.1,12.27,0.92,
0.919,1986,97.1,12.27,0.92,
0.930,1821,97.1,12.27,0.91,
0.939,1821,97.1,12.27,0.87,
0.949,1821,97.1,12.27,0.85,
0.959,2055,97.1,12.27,0.85,
0.969,2055,97.1,12.27,0.85,
0.979,2055,97.1,12.27,0.85,
0.991,1891,97.1,12.27,0.85,
0.999,1891,97.2,12.27,0.85,
1.009,1891,97.1,12.27,0.85,
1.019,2110,97.1,12.27,0.84,
1.029,2110,97.1,12.27,0.84,
1.039,2110,97.1,12.27,0.84,
1.049,1968,97.2,12.27,0.84,
1.059,1968,97.2,12.27,0.84,
1.069,1968,97.2,12.27,0.84,
1.079,2193,97.2,12.27,0.84,
1.089,2193,97.2,12.27,0.84,
1.099,2193,97.2,12.27,0.84,
1.109,2067,97.2,12.27,0.83,
1.119,2067,97.2,12.27,0.83,
1.129,2067,97.2,12.27,0.83,
1.139,2309,97.2,12.27,0.83,
1.149,2309,97.2,12.27,0.83,
1.159,2203,97.2,12.27,0.83,
1.169,2203,97.2,12.27,0.83,
1.179,2203,97.2,12.27,0.83,
1.189,2424,97.2,12.27,0.82,
1.199,2424,97.3,12.27,0.82,
1.210,2305,97.2,12.27,0.82,
1.219,2305,97.3,12.27,0.82,
1.229,2305,97.3,12.27,0.82,
1.239,2501,97.3,12.27,0.82,
1.249,2501,97.3,12.27,0.82,
1.259,2397,97.3,12.27,0.82,
1.269,2397,97.3,12.27,0.84,
1.279,2397,97.3,12.27,0.84,
1.289,2606,97.3,12.27,0.84,
1.299,2606,97.3,12.27,0.84,
1.309,2529,97.3,12.27,0.84,
1.319,2529,97.3,12.27,0.84,
1.329,2734,97.3,12.27,0.84,
1.339,2734,97.3,12.27,0.84,
1.350,2666,97.3,12.27,0.85,
1.359,2666,97.3,12.27,0.86,
1.369,2666,97.3,12.27,0.85,
1.379,2856,97.3,12.27,0.86,
1.389,2856,97.3,12.27,0.85,
1.399,2797,97.3,12.27,0.86,
1.409,2797,97.3,12.27,0.85,
1.419,2980,97.3,12.27,0.86,
1.429,2980,97.3,12.27,0.87,
1.439,2927,97.3,12.27,0.88,
1.450,2927,97.3,12.27,0.88,
1.459,3107,97.3,12.27,0.88,
1.469,3107,97.3,12.27,0.87,
1.479,3058,97.3,12.27,0.88,
1.489,3237,97.3,12.27,0.87,
1.499,3237,97.3,12.27,0.88,
1.509,3186,97.3,12.27,0.88,
1.519,3186,97.3,12.27,0.89,
1.529,3353,97.3,12.27,0.89,
1.539,3353,97.3,12.27,0.89,
1.549,3303,97.4,12.27,0.89,
1.559,3303,97.4,12.27,0.89,
1.569,3469,97.3,12.27,0.89,
1.579,3414,97.4,12.27,0.89,
1.589,3414,97.4,12.27,0.90,
1.599,3583,97.4,12.27,0.92,
1.609,3583,97.4,12.27,0.93,
1.619,3521,97.4,12.27,0.92,
1.629,3696,97.4,12.27,0.92,
1.639,3696,97.4,12.27,0.92,
1.649,3630,97.4,12.27,0.92,
1.659,3630,97.5,12.27,0.92,
1.669,3805,97.4,12.27,0.92,
1.679,3736,97.4,12.27,0.94,
1.689,3736,97.4,12.27,0.95,
1.699,3894,97.4,12.27,0.94,
1.710,3825,97.4,12.27,0.94,
1.719,3825,97.5,12.27,0.95,
1.729,3991,97.4,12.27,0.94,
1.740,3919,97.4,12.27,0.94,
1.751,3919,97.5,12.27,0.95,
1.759,4092,97.5,12.27,0.95,
1.770,4023,97.5,12.27,0.95,
