Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,877,97.5,12.17,1.52,
0.009,877,97.5,12.17,1.52,
0.019,877,97.6,12.17,1.52,
0.029,877,97.6,12.17,1.52,
0.039,877,97.5,12.17,1.51,
0.049,978,97.5,12.17,1.52,
0.059,978,97.5,12.17,1.52,
0.069,978,97.5,12.17,1.52,
0.079,978,97.5,12.18,1.52,
0.089,978,97.5,12.18,1.52,
0.099,978,97.5,12.18,1.52,
0.110,1006,97.5,12.18,1.52,
0.119,1006,97.6,12.18,1.52,
0.129,1006,97.6,12.18,1.52,
0.139,1006,97.5,12.18,1.52,
0.149,1006,97.5,12.18,1.52,
0.159,1006,97.5,12.18,1.52,
0.169,1058,97.5,12.18,1.52,
0.179,1058,97.6,12.18,1.52,
0.189,1058,97.5,12.18,1.52,
0.199,1058,97.5,12.18,1.52,
0.209,1058,97.5,12.18,1.52,
0.219,1058,97.5,12.18,1.51,
0.229,1060,97.6,12.18,1.52,
0.239,1060,97.6,12.18,1.52,
0.249,1060,97.6,12.18,1.52,
0.259,1060,97.6,12.18,1.52,
0.269,1562,97.6,12.18,1.52,
0.279,1562,97.5,12.19,1.52,
0.289,1562,97.6,12.19,1.52,
0.299,1540,97.6,12.19,1.52,
0.311,1540,97.6,12.19,1.52,
0.319,1540,97.6,12.19,1.35,
0.329,1540,97.6,12.19,1.32,
0.339,1861,97.6,12.19,1.34,
0.349,1861,97.6,12.19,1.33,
0.359,1861,97.6,12.19,1.33,
0.369,1742,97.6,12.19,1.33,
0.379,1742,97.7,12.19,1.33,
0.389,1742,97.7,12.19,1.33,
0.399,1986,97.7,12.19,0.93,
0.409,1986,97.7,12.19,0.80,
0.422,1986,97.7,12.19,0.80,
0.429,1817,97.6,12.19,0.79,
0.439,1817,97.7,12.19,0.80,
0.449,1817,97.7,12.19,0.80,
0.460,2041,97.7,12.19,0.79,
0.469,2041,97.7,12.19,0.80,
0.479,2041,97.7,12.19,0.79,
0.489,2041,97.7,12.19,0.77,
0.499,1868,97.8,12.19,0.78,
0.509,1868,97.7,12.19,0.78,
0.519,1868,97.7,12.19,0.78,
0.529,2077,97.7,12.19,0.79,
0.539,2077,97.8,12.19,0.79,
0.549,2077,97.7,12.19,0.78,
0.559,1918,97.8,12.19,0.78,
0.569,1918,97.8,12.19,0.77,
0.579,2138,97.8,12.19,0.77,
0.589,2138,97.8,12.19,0.77,
0.599,2138,97.8,12.19,0.77,
0.609,1997,97.8,12.19,0.77,
0.619,1997,97.8,12.19,0.77,
0.629,1997,97.8,12.19,0.77,
0.639,2224,97.8,12.19,0.77,
0.649,2224,97.8,12.19,0.77,
0.659,2224,97.8,12.19,0.77,
0.669,2113,97.8,12.19,0.77,
0.679,2113,97.8,12.19,0.77,
0.689,2113,97.8,12.19,0.77,
0.699,2330,97.8,12.19,0.77,
0.709,2330,97.8,12.19,0.77,
0.719,2224,97.8,12.19,0.77,
0.729,2224,97.8,12.19,0.79,
0.739,2224,97.8,12.19,0.78,
0.749,2438,97.8,12.19,0.79,
0.759,2438,97.8,12.19,0.79,
0.769,2326,97.8,12.19,0.78,
0.779,2326,97.9,12.19,0.79,
0.789,2326,97.8,12.19,0.78,
0.799,2534,97.8,12.19,0.79,
0.809,2534,97.8,12.20,0.81,
0.819,2447,97.8,12.20,0.81,
0.829,2447,97.9,12.20,0.81,
0.839,2653,97.9,12.20,0.81,
0.851,2653,97.9,12.20,0.81,
0.859,2653,97.8,12.20,0.81,
0.869,2582,97.9,12.20,0.81,
0.879,2582,97.8,12.20,0.81,
0.889,2783,97.9,12.20,0.83,
0.899,2783,97.8,12.21,0.84,
0.909,2715,97.9,12.21,0.84,
0.919,2715,97.9,12.21,0.84,
0.929,2913,97.9,12.21,0.84,
0.939,2913,97.8,12.21,0.85,
0.949,2848,97.9,12.21,0.84,
0.959,2848,97.9,12.21,0.85,
0.969,3038,97.8,12.21,0.86,
0.979,3038,97.8,12.21,0.89,
0.989,2980,97.9,12.21,0.88,
0.999,2980,97.9,12.21,0.89,
1.009,3158,97.9,12.21,0.88,
1.019,3158,97.9,12.21,0.89,
1.029,3105,97.9,12.21,0.88,
1.039,3105,97.9,12.21,0.89,
1.049,3280,97.9,12.21,0.89,
1.059,3280,97.9,12.22,0.92,
1.069,3227,97.9,12.22,0.93,
1.079,3227,97.9,12.22,0.93,
1.089,3396,97.9,12.22,0.93,
1.099,3336,97.9,12.22,0.93,
1.109,3336,97.9,12.22,0.93,
1.119,3512,97.9,12.22,0.93,
1.129,3512,97.9,12.22,0.93,
1.139,3447,97.9,12.22,0.95,
1.150,3622,97.9,12.22,0.95,
1.159,3622,97.9,12.22,0.95,
1.169,3549,98.0,12.22,0.94,
1.182,3730,98.0,12.22,0.94,
1.189,3730,97.9,12.22,0.95,
1.199,3656,97.9,12.22,0.94,
1.209,3656,98.0,12.22,0.95,
1.219,3825,98.0,12.22,0.97,
1.229,3825,98.0,12.22,0.98,
1.239,3755,98.0,12.22,0.98,
1.249,3923,98.0,12.22,0.97,
1.259,3923,97.9,12.23,0.98,
1.269,3855,98.0,12.23,0.98,
1.279,4013,98.0,12.23,0.98,
1.289,4013,98.0,12.23,0.98,
1.299,3951,98.1,12.23,0.99,
1.309,4111,98.0,12.23,0.99,
1.319,4111,98.0,12.24,0.99,
1.329,4043,98.1,12.24,1.00,
1.339,4201,98.0,12.24,1.00,
1.350,4132,98.0,12.24,0.99,
1.359,4132,98.1,12.24,1.00,
1.369,4291,98.0,12.24,1.00,
1.379,4228,98.0,12.24,1.01,
1.389,4228,98.0,12.24,1.02,
1.399,4377,98.1,12.24,1.02,
1.409,4316,98.0,12.24,1.02,
1.419,4465,98.1,12.24,1.02,
1.429,4465,98.1,12.24,1.02,
1.439,4399,98.1,12.24,1.02,
1.449,4544,98.1,12.24,1.02,
1.459,4476,98.1,12.24,1.03,
1.469,4476,98.1,12.24,1.07,
1.479,4621,98.1,12.24,1.07,
1.489,4557,98.1,12.24,1.06,
1.499,4699,98.1,12.24,1.07,
1.509,4699,98.1,12.24,1.07,
1.519,4634,98.1,12.24,1.07,
1.531,4765,98.1,12.24,1.07,
1.539,4714,98.1,12.24,1.06,
1.549,4837,98.1,12.24,1.03,
1.559,4837,98.1,12.24,1.03,
1.569,4786,98.1,12.24,1.03,
1.579,4911,98.1,12.24,1.03,
1.589,4857,98.1,12.24,1.03,
1.599,4976,98.2,12.24,1.02,
1.609,4921,98.2,12.24,1.02,
1.619,4921,98.1,12.24,1.03,
1.629,5043,98.2,12.24,1.03,
1.639,4991,98.2,12.24,1.03,
1.649,5108,98.2,12.24,1.03,
1.659,5058,98.2,12.24,1.03,
1.670,5175,98.1,12.24,1.03,
1.679,5175,98.2,12.24,1.03,
1.689,5122,98.2,12.24,1.03,
1.699,5241,98.2,12.24,1.03,
1.709,5185,98.2,12.24,1.02,
1.719,5300,98.2,12.24,1.02,
1.729,5244,98.2,12.24,1.02,
1.739,5357,98.2,12.24,1.02,
1.750,5302,98.2,12.25,1.02,
1.759,5302,98.2,12.25,1.02,
1.769,5412,97.5,12.25,1.02,
1.779,5363,92.9,12.25,1.02,
1.789,5470,85.2,12.25,1.03,
1.799,5417,76.1,12.25,1.04,
1.809,5522,65.9,12.25,1.04,
1.819,5471,54.3,12.26,1.04,
1.829,5567,41.1,12.24,1.04,
1.842,5518,20.9,12.23,1.04,
1.849,5501,0.0,12.23,1.04,
1.859,5461,0.0,12.01,1.04,
1.869,5450,0.0,11.89,1.03,
1.879,5450,0.0,11.66,1.03,
1.889,5415,0.0,11.49,1.03,
1.899,5382,0.0,11.30,1.03,
1.909,5341,0.0,11.12,1.03,
1.919,5311,0.0,10.97,1.03,
1.929,5274,0.0,10.77,1.03,
1.939,5244,0.0,10.67,1.02,
1.949,5209,0.0,10.46,1.08,
1.959,5209,0.0,10.35,1.52,
1.969,5187,0.0,10.17,1.52,
1.979,5154,0.0,10.03,1.52,
1.989,5128,0.0,9.90,1.52,
1.999,5093,0.0,9.73,1.52,
2.009,5067,0.0,9.65,1.52,
2.020,5035,0.0,9.47,1.52,
2.029,5035,0.0,9.38,1.52,
2.039,5008,0.0,9.25,1.52,
2.049,4978,0.0,9.13,1.52,
2.059,4950,0.0,9.06,1.52,
2.069,4921,0.0,8.91,1.52,
2.079,4895,0.0,8.86,1.52,
2.089,4895,0.0,8.72,1.52,
2.099,4864,0.0,8.63,1.52,
2.109,4838,0.0,8.56,1.52,
2.119,4810,0.0,8.43,1.52,
2.130,4782,0.0,8.40,1.52,
2.139,4782,0.0,8.27,1.52,
2.149,4750,0.0,8.19,1.52,
2.159,4723,0.0,8.14,1.52,
2.169,4696,0.0,8.02,1.52,
2.179,4696,0.0,7.99,1.52,
2.189,4670,0.0,7.89,1.52,
2.199,4641,0.0,7.82,1.52,
2.209,4616,0.0,7.81,1.52,
2.220,4585,0.0,7.68,1.52,
2.229,4585,0.0,7.65,1.52,
2.239,4559,0.0,7.59,1.52,
2.249,4527,0.0,7.50,1.52,
2.260,4500,0.0,7.50,1.52,
2.269,4500,0.0,7.39,1.52,
2.279,4471,0.0,7.34,1.52,
2.289,4444,0.0,7.34,1.52,
2.299,4415,0.0,7.23,1.52,
2.309,4415,0.0,7.21,1.52,
2.319,4389,0.0,7.18,1.52,
2.329,4358,0.0,7.10,1.52,
2.339,4358,0.0,7.10,1.52,
2.349,4331,0.0,7.03,1.52,
2.359,4302,0.0,6.97,1.52,
2.370,4275,0.0,7.00,1.52,
2.380,4275,0.0,6.90,1.52,
2.389,4242,0.0,6.87,1.52,
2.399,4215,0.0,6.90,1.52,
2.409,4215,0.0,6.80,1.52,
2.419,4184,0.0,6.78,1.52,
2.429,4159,0.0,6.80,1.52,
2.439,4159,0.0,6.70,1.52,
2.449,4127,0.0,6.70,1.52,
2.459,4101,0.0,6.72,1.52,
2.469,4101,0.0,6.63,1.52,
2.479,4068,0.0,6.63,1.52,
2.489,4043,0.0,6.64,1.52,
2.499,4009,0.0,6.56,1.52,
2.509,4009,0.0,6.56,1.52,
2.519,3980,0.0,6.58,1.52,
2.529,3980,0.0,6.50,1.52,
2.539,3948,0.0,6.50,1.52,
2.549,3921,0.0,6.53,1.52,
2.559,3921,0.0,6.45,1.52,
2.569,3891,0.0,6.45,1.52,
2.579,3865,0.0,6.50,1.52,
2.589,3865,0.0,6.41,1.52,
2.599,3833,0.0,6.41,1.52,
2.609,3805,0.0,6.48,1.52,
2.619,3805,0.0,6.39,1.52,
2.629,3772,0.0,6.38,1.52,
2.639,3746,0.0,6.45,1.52,
2.649,3746,0.0,6.39,1.52,
2.659,3711,0.0,6.36,1.52,
2.669,3711,0.0,6.41,1.52,
2.679,3683,0.0,6.41,1.52,
2.689,3650,0.0,6.36,1.52,
2.699,3650,0.0,6.39,1.52,
2.709,3624,0.0,6.43,1.52,
2.719,3624,0.0,6.35,1.52,
2.729,3593,0.0,6.36,1.52,
2.739,3563,0.0,6.45,1.52,
2.749,3563,0.0,6.37,1.52,
2.759,3529,0.0,6.35,1.52,
2.769,3529,0.0,6.41,1.52,
2.779,3504,0.0,6.41,1.52,
2.789,3504,0.0,6.35,1.52,
2.799,3471,0.0,6.38,1.52,
2.809,3439,0.0,6.47,1.52,
2.821,3439,0.0,6.39,1.52,
2.829,3406,0.0,6.38,1.52,
2.839,3406,0.0,6.45,1.52,
2.849,3378,0.0,6.46,1.52,
2.859,3378,0.0,6.40,1.52,
2.869,3345,0.0,6.42,1.52,
2.880,3317,0.0,6.52,1.52,
2.889,3317,0.0,6.45,1.52,
2.899,3283,0.0,6.42,1.52,
2.909,3283,0.0,6.47,1.52,
2.919,3256,0.0,6.54,1.52,
2.930,3256,0.0,6.46,1.52,
2.939,3221,0.0,6.46,1.52,
2.949,3221,0.0,6.54,1.52,
2.959,3191,0.0,6.56,1.52,
2.969,3191,0.0,6.49,1.52,
2.979,3157,0.0,6.51,1.52,
2.989,3157,0.0,6.61,1.52,
2.999,3128,0.0,6.59,1.52,
3.009,3128,0.0,6.54,1.52,
3.019,3095,0.0,6.57,1.52,
3.029,3095,0.0,6.68,1.52,
3.039,3066,0.0,6.64,1.52,
3.049,3032,0.0,6.59,1.52,
3.059,3032,0.0,6.63,1.52,
3.069,3004,0.0,6.74,1.52,
3.079,3004,0.0,6.69,1.52,
3.089,3004,0.0,6.64,1.52,
3.099,2967,0.0,6.68,1.52,
3.109,2967,0.0,6.79,1.52,
3.119,2937,0.0,6.76,1.52,
3.129,2937,0.0,6.70,1.52,
3.139,2902,0.0,6.73,1.52,
3.150,2902,0.0,6.83,1.52,
3.159,2873,0.0,6.83,1.52,
3.169,2873,0.0,6.76,1.52,
3.179,2835,0.0,6.77,1.52,
3.189,2835,0.0,6.86,1.52,
3.199,2804,0.0,6.92,1.52,
3.209,2804,0.0,6.83,1.52,
3.219,2767,0.0,6.83,1.52,
3.229,2767,0.0,6.90,1.52,
3.239,2738,0.0,7.02,1.52,
3.249,2738,0.0,6.94,1.52,
3.259,2738,0.0,6.90,1.52,
3.269,2699,0.0,6.94,1.52,
3.279,2699,0.0,7.05,1.52,
3.289,2667,0.0,7.07,1.52,
3.299,2667,0.0,6.98,1.52,
3.309,2629,0.0,6.98,1.52,
3.319,2629,0.0,7.06,1.52,
3.329,2599,0.0,7.19,1.52,
3.339,2599,0.0,7.11,1.52,
3.349,2599,0.0,7.05,1.52,
3.359,2558,0.0,7.08,1.52,
3.369,2558,0.0,7.18,1.52,
3.379,2525,0.0,7.27,1.52,
3.389,2525,0.0,7.17,1.52,
3.399,2525,0.0,7.14,1.52,
3.409,2483,0.0,7.19,1.52,
3.419,2483,0.0,7.30,1.52,
3.429,2450,0.0,7.36,1.52,
3.439,2450,0.0,7.25,1.52,
3.449,2410,0.0,7.22,1.52,
3.459,2410,0.0,7.27,1.52,
3.469,2410,0.0,7.38,1.52,
3.479,2378,0.0,7.44,1.52,
3.489,2378,0.0,7.33,1.52,
3.500,2378,0.0,7.30,1.52,
3.509,2335,0.0,7.35,1.52,
3.519,2335,0.0,7.46,1.52,
3.529,2303,0.0,7.56,1.52,
3.539,2303,0.0,7.45,1.52,
3.549,2303,0.0,7.39,1.52,
3.559,2261,0.0,7.42,1.52,
3.569,2261,0.0,7.52,1.52,
3.579,2261,0.0,7.65,1.52,
3.591,2226,0.0,7.59,1.52,
3.599,2226,0.0,7.50,1.52,
3.609,2182,0.0,7.50,1.52,
3.619,2182,0.0,7.57,1.52,
3.629,2182,0.0,7.69,1.52,
3.639,2149,0.0,7.76,1.52,
3.649,2149,0.0,7.65,1.52,
3.659,2149,0.0,7.59,1.52,
3.669,2105,0.0,7.61,1.52,
3.679,2105,0.0,7.70,1.52,
3.689,2105,0.0,7.83,1.52,
3.699,2071,0.0,7.84,1.52,
3.709,2071,0.0,7.72,1.52,
3.719,2071,0.0,7.68,1.52,
3.729,2026,0.0,7.72,1.52,
3.739,2026,0.0,7.82,1.52,
3.749,2026,0.0,7.95,1.52,
3.759,1990,0.0,7.95,1.52,
3.769,1990,0.0,7.83,1.52,
3.779,1990,0.0,7.79,1.52,
3.789,1942,0.0,7.83,1.52,
3.800,1942,0.0,7.93,1.52,
3.809,1942,0.0,8.06,1.52,
3.819,1904,0.0,8.12,1.52,
3.829,1904,0.0,8.00,1.52,
3.839,1904,0.0,7.93,1.52,
3.849,1857,0.0,7.94,1.52,
3.859,1857,0.0,8.02,1.52,
3.869,1857,0.0,8.14,1.52,
3.879,1857,0.0,8.26,1.52,
3.889,1818,0.0,8.21,1.52,
3.899,1818,0.0,8.09,1.52,
3.909,1818,0.0,8.05,1.52,
3.919,1766,0.0,8.09,1.52,
3.929,1766,0.0,8.19,1.52,
3.939,1766,0.0,8.31,1.52,
3.950,1728,0.0,8.42,1.52,
3.959,1728,0.0,8.34,1.52,
3.969,1728,0.0,8.22,1.52,
3.979,1728,0.0,8.18,1.52,
3.989,1675,0.0,8.22,1.52,
3.999,1675,0.0,8.31,1.52,
4.009,1675,0.0,8.43,1.52,
4.019,1675,0.0,8.55,1.52,
4.029,1636,0.0,8.52,1.52,
4.039,1636,0.0,8.39,1.52,
4.049,1636,0.0,8.32,1.52,
4.060,1583,0.0,8.33,1.52,
4.069,1583,0.0,8.41,1.52,
4.079,1583,0.0,8.52,1.52,
4.089,1583,0.0,8.63,1.52,
4.099,1544,0.0,8.72,1.52,
4.109,1544,0.0,8.63,1.52,
4.120,1544,0.0,8.50,1.52,
4.129,1544,0.0,8.45,1.52,
4.139,1490,0.0,8.48,1.52,
4.149,1490,0.0,8.56,1.52,
4.160,1490,0.0,8.67,1.52,
4.169,1490,0.0,8.78,1.52,
4.179,1449,0.0,8.88,1.52,
4.189,1449,0.0,8.82,1.52,
4.199,1449,0.0,8.68,1.52,
4.209,1449,0.0,8.60,1.52,
4.219,1449,0.0,8.60,1.52,
4.229,1397,0.0,8.67,1.52,
4.240,1397,0.0,8.77,1.52,
4.249,1397,0.0,8.88,1.52,
4.259,1397,0.0,8.98,1.52,
4.269,1359,0.0,9.05,1.52,
4.279,1359,0.0,8.94,1.52,
4.289,1359,0.0,8.80,1.52,
4.299,1359,0.0,8.73,1.52,
4.309,1359,0.0,8.74,1.52,
4.319,1304,0.0,8.81,1.52,
4.329,1304,0.0,8.91,1.52,
4.339,1304,0.0,9.01,1.52,
4.350,1304,0.0,9.11,1.52,
4.359,1304,0.0,9.20,1.52,
4.369,1265,0.0,9.15,1.52,
4.379,1265,0.0,9.01,1.52,
4.389,1265,0.0,8.90,1.52,
4.399,1265,0.0,8.88,1.52,
4.409,1265,0.0,8.92,1.52,
4.419,1209,0.0,9.01,1.52,
4.429,1209,0.0,9.11,1.52,
4.439,1209,0.0,9.21,1.52,
4.449,1209,0.0,9.30,1.52,
4.461,1209,0.0,9.39,1.52,
4.469,1166,0.0,9.36,1.52,
4.479,1166,0.0,9.22,1.52,
4.489,1166,0.0,9.09,1.52,
4.499,1166,0.0,9.04,1.52,
4.509,1166,0.0,9.06,1.52,
4.519,1104,0.0,9.14,1.52,
4.529,1104,0.0,9.23,1.52,
4.539,1104,0.0,9.32,1.52,
4.549,1104,0.0,9.41,1.52,
4.559,1104,0.0,9.50,1.52,
4.569,1104,0.0,9.58,1.52,
4.579,1060,0.0,9.56,1.52,
4.589,1060,0.0,9.43,1.52,
4.599,1060,0.0,9.29,1.52,
4.609,1060,0.0,9.21,1.52,
4.619,1060,0.0,9.21,1.52,
4.629,1060,0.0,9.27,1.52,
4.639,991,0.0,9.36,1.52,
4.649,991,0.0,9.45,1.52,
4.659,991,0.0,9.54,1.52,
4.669,991,0.0,9.62,1.52,
4.679,991,0.0,9.70,1.52,
4.689,991,0.0,9.78,1.52,
4.699,943,0.0,9.81,1.52,
4.709,943,0.0,9.71,1.52,
4.719,943,0.0,9.57,1.52,
4.729,943,0.0,9.45,1.52,
