Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,730,0.0,11.75,1.52,
0.009,730,0.0,11.55,1.52,
0.019,730,0.0,11.39,1.52,
0.029,730,0.0,11.32,1.52,
0.039,730,0.0,11.32,1.51,
0.049,885,0.0,11.34,1.52,
0.059,885,0.0,11.37,1.52,
0.069,885,0.0,11.40,1.52,
0.079,885,0.0,11.43,1.52,
0.089,885,0.0,11.46,1.52,
0.099,885,0.0,11.48,1.52,
0.109,885,0.0,11.49,1.52,
0.119,963,0.0,11.39,1.52,
0.129,963,0.0,11.20,1.52,
0.139,963,0.0,11.02,1.52,
0.149,963,0.0,10.91,1.52,
0.159,963,0.0,10.88,1.52,
0.169,963,0.0,10.90,1.52,
0.179,998,0.0,10.94,1.52,
0.191,998,0.0,10.98,1.52,
0.199,998,0.0,11.02,1.52,
0.209,998,0.0,11.06,1.52,
0.219,998,0.0,11.10,1.52,
0.229,1034,0.0,11.11,1.52,
0.239,1034,0.0,10.98,1.52,
0.249,1034,0.0,10.80,1.52,
0.259,1034,0.0,10.64,1.52,
0.269,1034,0.0,10.56,1.52,
0.279,1034,0.0,10.56,1.52,
0.289,1041,0.0,10.60,1.52,
0.299,1041,0.0,10.65,1.52,
0.309,1041,0.0,10.70,1.52,
0.319,1041,0.0,10.75,1.52,
0.329,1041,0.0,10.80,1.52,
0.339,1188,0.0,10.80,1.52,
0.349,1188,0.0,10.65,1.52,
0.359,1188,0.0,10.47,1.52,
0.369,1188,0.0,10.34,1.52,
0.379,1188,0.0,10.30,1.52,
0.389,1138,0.0,10.32,1.52,
0.399,1138,0.0,10.37,1.52,
0.409,1138,0.0,10.43,1.52,
0.419,1138,0.0,10.49,1.52,
0.429,1138,0.0,10.54,1.52,
0.439,1138,0.0,10.59,1.52,
0.449,1096,0.0,10.57,1.52,
0.459,1096,0.0,10.41,1.52,
0.469,1096,0.0,10.24,1.52,
0.479,1096,0.0,10.13,1.52,
0.489,1096,0.0,10.10,1.52,
0.499,1096,0.0,10.13,1.52,
0.510,1030,0.0,10.19,1.52,
0.519,1030,0.0,10.25,1.52,
0.529,1030,0.0,10.31,1.52,
0.539,1030,0.0,10.37,1.52,
0.549,1030,0.0,10.43,1.52,
0.559,1156,0.0,10.41,1.52,
0.569,1156,0.0,10.25,1.52,
