Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,936,0.0,11.27,1.52,
0.009,936,0.0,11.30,1.52,
0.019,936,0.0,11.33,1.52,
0.029,936,0.0,11.36,1.52,
0.039,1206,0.0,11.29,1.52,
0.051,1206,0.0,11.10,1.52,
0.059,1206,0.0,10.92,1.52,
0.069,1206,0.0,10.82,1.52,
0.079,1206,0.0,10.80,1.52,
0.089,1160,0.0,10.82,1.52,
0.099,1160,0.0,10.86,1.52,
0.109,1160,0.0,10.90,1.52,
0.119,1160,0.0,10.94,1.52,
0.129,1160,0.0,10.98,1.52,
0.139,1119,0.0,11.00,1.52,
0.149,1119,0.0,10.87,1.52,
0.159,1119,0.0,10.69,1.52,
0.169,1119,0.0,10.54,1.52,
0.179,1119,0.0,10.47,1.52,
0.189,1119,0.0,10.47,1.52,
0.199,1053,0.0,10.51,1.52,
0.209,1053,0.0,10.56,1.52,
0.219,1053,0.0,10.61,1.52,
0.229,1053,0.0,10.66,1.52,
0.239,1053,0.0,10.71,1.52,
0.249,1053,0.0,10.76,1.52,
0.259,1007,0.0,10.75,1.52,
0.269,1007,0.0,10.61,1.52,
0.279,1007,0.0,10.44,1.52,
0.289,1007,0.0,10.30,1.52,
0.299,1007,0.0,10.25,1.52,
0.309,1007,0.0,10.26,1.52,
0.319,934,0.0,10.31,1.52,
0.329,934,0.0,10.37,1.52,
0.339,934,0.0,10.43,1.52,
0.349,934,0.0,10.49,1.52,
0.359,934,0.0,10.55,1.52,
0.369,934,0.0,10.60,1.52,
0.379,1012,0.0,10.63,1.52,
0.389,1012,0.0,10.52,1.52,
0.399,1012,0.0,10.35,1.52,
0.409,1012,0.0,10.20,1.52,
0.419,1012,0.0,10.12,1.52,
0.429,1012,0.0,10.12,1.52,
0.439,1012,0.0,10.17,1.52,
0.449,952,0.0,10.23,1.50,
0.461,952,0.0,10.29,1.29,
0.469,952,0.0,10.35,1.29,
0.479,952,0.0,10.41,1.29,
0.489,952,0.0,10.47,1.29,
0.500,952,0.0,10.53,1.28,
0.509,971,0.0,10.50,1.29,
0.519,971,0.0,10.35,1.29,
0.529,971,0.0,10.19,1.28,
0.539,971,0.0,10.07,1.21,
0.549,971,0.0,10.03,1.20,
0.559,971,0.0,10.05,1.20,
0.569,903,0.0,10.11,1.20,
0.579,903,0.0,10.18,1.20,
0.591,903,0.0,10.24,1.20,
0.599,903,0.0,10.30,1.20,
0.609,903,0.0,10.36,1.20,
0.619,903,0.0,10.42,1.25,
0.629,1032,0.0,10.45,1.28,
0.639,1032,0.0,10.33,1.28,
0.649,1032,0.0,10.17,1.27,
0.659,1032,0.0,10.03,1.28,
0.669,1032,0.0,9.97,1.28,
0.679,1032,0.0,9.98,1.27,
0.689,980,0.0,10.03,1.27,
0.700,980,0.0,10.10,1.14,
0.709,980,0.0,10.17,1.01,
0.719,980,0.0,10.23,1.01,
0.729,980,0.0,10.29,1.01,
0.739,980,0.0,10.35,1.01,
0.749,1038,0.0,10.37,1.01,
0.759,1038,0.0,10.25,1.01,
0.769,1038,0.0,10.09,1.01,
0.779,1038,0.0,9.96,1.00,
0.789,1038,0.0,9.91,0.96,
0.799,1038,0.0,9.92,0.95,
0.811,978,0.0,9.98,0.96,
0.819,978,0.0,10.05,0.96,
0.829,978,0.0,10.12,0.96,
0.839,978,0.0,10.19,0.96,
0.849,978,0.0,10.25,0.96,
0.859,978,0.0,10.31,0.95,
0.869,1085,0.0,10.28,0.90,
0.879,1085,0.0,10.13,0.91,
0.889,1085,0.0,9.97,0.90,
0.899,1085,0.0,9.87,0.90,
0.909,1085,0.0,9.86,0.90,
0.919,1085,0.0,9.90,0.90,
0.929,1034,0.0,9.97,0.90,
0.939,1034,0.0,10.04,0.90,
0.949,1034,0.0,10.11,0.84,
0.959,1034,0.0,10.18,0.84,
0.969,1034,0.0,10.24,0.84,
0.979,1113,0.0,10.24,0.84,
0.989,1113,0.0,10.10,0.84,
0.999,1113,0.0,9.94,0.84,
1.009,1113,0.0,9.83,0.84,
1.019,1113,0.0,9.81,0.84,
1.029,1113,0.0,9.85,0.83,
1.039,1061,0.0,9.92,0.83,
1.049,1061,0.0,9.99,0.83,
1.059,1061,0.0,10.06,0.83,
1.069,1061,0.0,10.13,0.83,
1.079,1061,0.0,10.20,0.83,
1.089,1154,0.0,10.18,0.83,
1.099,1154,0.0,10.03,0.83,
1.111,1154,0.0,9.87,0.84,
1.119,1154,0.0,9.78,0.84,
1.129,1154,0.0,9.78,0.84,
1.139,1105,0.0,9.83,0.84,
1.150,1105,0.0,9.90,0.84,
1.159,1105,0.0,9.97,0.84,
1.169,1105,0.0,10.04,0.84,
1.179,1105,0.0,10.11,0.84,
1.189,1173,0.0,10.16,0.84,
1.199,1173,0.0,10.06,0.84,
1.209,1173,0.0,9.90,0.84,
1.219,1173,0.0,9.77,0.84,
1.229,1173,0.0,9.73,0.84,
1.239,1173,0.0,9.75,0.84,
1.250,1122,0.0,9.82,0.84,
1.259,1122,0.0,9.90,0.84,
1.269,1122,0.0,9.97,0.84,
1.279,1122,0.0,10.04,0.82,
1.289,1122,0.0,10.11,0.82,
1.299,1201,0.0,10.07,0.82,
1.309,1201,0.0,9.91,0.82,
1.319,1201,0.0,9.76,0.82,
1.329,1201,0.0,9.69,0.82,
1.339,1201,0.0,9.69,0.81,
1.349,1153,0.0,9.75,0.82,
1.359,1153,0.0,9.83,0.82,
1.369,1153,0.0,9.90,0.82,
1.379,1153,0.0,9.97,0.83,
1.389,1153,0.0,10.04,0.82,
1.399,1220,0.0,10.02,0.82,
1.409,1220,0.0,9.87,0.82,
1.419,1220,0.0,9.72,0.82,
1.429,1220,0.0,9.64,0.82,
1.439,1220,0.0,9.64,0.83,
1.449,1171,0.0,9.70,0.83,
1.461,1171,0.0,9.78,0.83,
1.469,1171,0.0,9.86,0.83,
1.479,1171,0.0,9.93,0.83,
1.489,1171,0.0,10.00,0.83,
1.499,1241,0.0,9.97,0.83,
1.509,1241,0.0,9.81,0.83,
1.519,1241,0.0,9.66,0.84,
1.529,1241,0.0,9.59,0.85,
1.539,1241,0.0,9.60,0.85,
1.549,1195,0.0,9.66,0.85,
1.559,1195,0.0,9.74,0.85,
1.569,1195,0.0,9.82,0.85,
1.579,1195,0.0,9.90,0.85,
1.590,1274,0.0,9.97,0.84,
1.599,1274,0.0,9.89,0.85,
1.609,1274,0.0,9.73,0.87,
1.619,1274,0.0,9.60,0.87,
1.629,1274,0.0,9.56,0.87,
1.639,1229,0.0,9.59,0.86,
1.649,1229,0.0,9.66,0.87,
1.659,1229,0.0,9.74,0.87,
1.669,1229,0.0,9.82,0.87,
1.679,1229,0.0,9.90,0.86,
