Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,902,0.0,11.20,1.52,
0.009,902,0.0,11.23,1.52,
0.019,902,0.0,11.26,1.52,
0.029,902,0.0,11.29,1.52,
0.039,902,0.0,11.32,1.52,
0.049,975,0.0,11.31,1.52,
0.059,975,0.0,11.15,1.52,
0.069,975,0.0,10.96,1.52,
0.079,975,0.0,10.80,1.52,
0.089,975,0.0,10.73,1.52,
0.099,975,0.0,10.73,1.52,
0.109,1002,0.0,10.77,1.52,
0.119,1002,0.0,10.81,1.52,
0.129,1002,0.0,10.85,1.52,
0.139,1002,0.0,10.89,1.52,
0.149,1002,0.0,10.93,1.52,
0.159,1002,0.0,10.97,1.52,
0.169,1032,0.0,10.94,1.52,
0.179,1032,0.0,10.77,1.52,
0.189,1032,0.0,10.59,1.52,
0.199,1032,0.0,10.46,1.52,
0.209,1032,0.0,10.42,1.52,
0.219,1032,0.0,10.44,1.52,
0.229,1035,0.0,10.49,1.52,
0.239,1035,0.0,10.54,1.52,
0.249,1035,0.0,10.59,1.52,
0.259,1035,0.0,10.64,1.52,
0.269,1035,0.0,10.69,1.52,
0.279,1054,0.0,10.72,1.52,
0.289,1054,0.0,10.60,1.52,
0.299,1054,0.0,10.42,1.52,
0.309,1054,0.0,10.27,1.52,
0.319,1054,0.0,10.20,1.52,
0.329,1054,0.0,10.20,1.52,
0.339,1052,0.0,10.25,1.52,
0.349,1052,0.0,10.31,1.52,
0.359,1052,0.0,10.37,1.52,
0.369,1052,0.0,10.43,1.52,
0.379,1052,0.0,10.49,1.52,
0.389,1052,0.0,10.54,1.52,
0.399,1063,0.0,10.49,1.52,
0.409,1063,0.0,10.33,1.52,
0.419,1063,0.0,10.17,1.52,
0.429,1063,0.0,10.07,1.52,
0.439,1063,0.0,10.06,1.52,
0.449,1063,0.0,10.10,1.52,
0.459,1010,0.0,10.16,1.52,
0.469,1010,0.0,10.22,1.52,
0.479,1010,0.0,10.28,1.52,
0.489,1010,0.0,10.34,1.52,
0.499,1010,0.0,10.40,1.52,
0.509,1010,0.0,10.46,1.52,
0.519,956,0.0,10.45,1.52,
0.529,956,0.0,10.31,1.52,
0.539,956,0.0,10.15,1.52,
0.549,956,0.0,10.02,1.52,
0.559,956,0.0,9.97,1.52,
0.569,956,0.0,9.98,1.52,
0.579,956,0.0,10.04,1.52,
0.589,874,0.0,10.11,1.52,
0.599,874,0.0,10.17,1.52,
0.609,874,0.0,10.23,1.52,
0.619,874,0.0,10.29,1.52,
0.629,874,0.0,10.35,1.52,
0.639,874,0.0,10.41,1.52,
0.649,874,0.0,10.47,1.52,
0.659,811,0.0,10.48,1.52,
0.669,811,0.0,10.38,1.52,
0.679,811,0.0,10.23,1.52,
0.689,811,0.0,10.08,1.52,
0.699,811,0.0,9.97,1.52,
0.709,811,0.0,9.94,1.52,
0.719,811,0.0,9.97,1.52,
0.729,811,0.0,10.03,1.52,
0.739,811,0.0,10.10,1.52,
0.749,708,0.0,10.16,1.52,
0.759,708,0.0,10.22,1.52,
0.769,708,0.0,10.28,1.52,
0.779,708,0.0,10.34,1.52,
0.789,708,0.0,10.40,1.52,
0.799,708,0.0,10.46,1.52,
0.809,708,0.0,10.51,1.52,
0.819,708,0.0,10.56,1.52,
0.829,708,0.0,10.61,1.52,
0.839,628,0.0,10.62,1.52,
0.849,628,0.0,10.55,1.52,
0.859,628,0.0,10.42,1.52,
0.869,628,0.0,10.28,1.52,
0.879,628,0.0,10.16,1.52,
0.889,628,0.0,10.07,1.52,
0.899,628,0.0,10.03,1.52,
0.909,628,0.0,10.05,1.52,
0.919,628,0.0,10.11,1.52,
0.929,628,0.0,10.17,1.52,
0.939,628,0.0,10.23,1.52,
0.949,628,0.0,10.29,1.52,
0.959,628,0.0,10.35,1.52,
0.969,628,0.0,10.41,1.52,
