Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,847,91.7,12.13,1.52,
0.009,847,91.7,12.13,1.52,
0.019,847,91.7,12.13,1.52,
0.029,847,91.7,12.13,1.52,
0.039,847,91.7,12.13,1.51,
0.049,847,91.7,12.13,1.52,
0.059,933,91.7,12.13,1.52,
0.069,933,91.7,12.13,1.52,
0.079,933,91.7,12.13,1.52,
0.089,933,91.7,12.13,1.52,
0.099,933,91.7,12.13,1.52,
0.109,933,91.7,12.13,1.51,
0.119,951,91.7,12.13,1.52,
0.129,951,91.7,12.13,1.52,
0.139,951,91.7,12.13,1.52,
0.149,951,91.7,12.13,1.52,
0.159,951,91.7,12.13,1.52,
0.169,951,91.7,12.13,1.51,
0.179,994,91.7,12.13,1.52,
0.189,994,91.7,12.13,1.52,
0.199,994,91.7,12.13,1.52,
0.209,994,91.8,12.13,1.52,
0.219,994,91.8,12.13,1.52,
0.229,994,91.7,12.13,1.51,
0.239,983,91.7,12.13,1.52,
0.249,983,91.8,12.13,1.52,
0.259,983,91.7,12.13,1.52,
0.269,983,91.8,12.13,1.52,
0.279,983,91.8,12.13,1.52,
0.289,983,91.7,12.13,1.52,
0.299,1015,91.8,12.13,1.52,
0.309,1015,91.8,12.13,1.52,
0.319,1015,91.7,12.13,1.52,
0.329,1015,91.7,12.13,1.52,
0.339,1015,91.7,12.13,1.52,
0.349,1015,91.7,12.13,1.51,
0.359,996,91.7,12.13,1.52,
0.369,996,91.8,12.13,1.52,
0.379,996,91.8,12.13,1.52,
0.389,996,91.7,12.13,1.52,
0.399,996,91.8,12.13,1.52,
0.409,996,91.7,12.13,1.52,
0.419,1025,91.7,12.13,1.52,
0.429,1025,91.8,12.13,1.52,
0.439,1025,91.8,12.13,1.52,
0.449,1025,91.8,12.13,1.52,
0.459,1025,91.8,12.13,1.52,
0.469,1025,91.8,12.13,1.51,
0.479,1004,91.8,12.13,1.52,
0.489,1004,91.8,12.13,1.52,
0.499,1004,91.8,12.13,1.52,
0.509,1004,91.8,12.13,1.52,
0.519,1004,91.8,12.13,1.52,
0.529,1004,91.8,12.13,1.52,
0.539,1026,91.8,12.13,1.52,
0.549,1026,91.8,12.13,1.52,
0.559,1026,91.8,12.13,1.52,
0.569,1026,91.8,12.13,1.52,
0.579,1026,91.8,12.13,1.52,
0.589,1026,91.8,12.13,1.51,
0.599,1003,91.8,12.13,1.52,
0.609,1003,91.8,12.13,1.52,
0.619,1003,91.8,12.13,1.52,
0.629,1003,91.6,12.13,1.52,
0.639,1003,91.0,12.13,1.52,
0.650,1026,89.8,12.13,1.52,
0.659,1026,88.1,12.13,1.52,
0.669,1026,85.8,12.13,1.52,
0.679,1026,82.8,12.13,1.52,
0.689,1026,79.6,12.13,1.52,
0.699,1026,76.7,12.13,1.51,
0.710,1004,73.7,12.13,1.52,
0.719,1004,70.8,12.13,1.52,
0.729,1004,68.0,12.13,1.52,
0.739,1004,65.5,12.13,1.52,
0.749,1004,62.5,12.13,1.52,
0.759,1004,60.2,12.13,1.52,
0.769,1029,58.8,12.13,1.52,
0.779,1029,58.0,12.13,1.52,
0.789,1029,57.7,12.13,1.52,
0.799,1029,57.6,12.13,1.52,
0.809,1029,57.5,12.13,1.52,
0.819,1029,57.5,12.13,1.52,
0.829,1007,57.5,12.13,1.52,
0.839,1007,57.5,12.13,1.52,
0.849,1007,57.5,12.13,1.52,
0.859,1007,57.4,12.13,1.52,
0.869,1007,57.4,12.13,1.52,
0.879,1007,57.5,12.13,1.52,
0.889,1028,57.5,12.13,1.52,
0.899,1028,57.5,12.13,1.52,
0.909,1028,57.4,12.13,1.52,
0.919,1028,57.4,12.13,1.52,
0.929,1028,57.5,12.13,1.52,
0.939,1028,57.4,12.13,1.52,
0.949,1004,57.4,12.13,1.52,
0.959,1004,57.4,12.13,1.52,
0.969,1004,57.6,12.13,1.52,
0.979,1004,57.8,12.13,1.52,
0.989,1004,58.3,12.13,1.52,
0.999,1004,58.8,12.13,1.52,
1.009,1029,59.6,12.13,1.52,
1.019,1029,60.7,12.13,1.52,
1.029,1029,62.0,12.13,1.52,
1.039,1029,63.3,12.13,1.52,
1.049,1029,64.7,12.13,1.52,
1.059,1029,66.2,12.13,1.51,
1.069,1005,67.6,12.13,1.52,
1.079,1005,69.0,12.13,1.52,
1.089,1005,70.3,12.13,1.52,
1.099,1005,71.6,12.13,1.52,
1.109,1005,73.2,12.13,1.52,
1.119,1005,74.7,12.13,1.52,
