Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,931,93.9,12.27,1.52,
0.009,931,93.9,12.27,1.52,
0.019,931,93.9,12.27,1.52,
0.029,931,93.9,12.27,1.52,
0.039,931,93.9,12.27,1.52,
0.049,931,93.9,12.27,1.52,
0.059,846,93.9,12.27,1.52,
0.069,846,93.9,12.27,1.52,
0.079,846,93.9,12.27,1.52,
0.089,846,93.9,12.27,1.52,
0.099,846,93.9,12.27,1.52,
0.109,846,93.9,12.27,1.52,
0.121,846,93.9,12.27,1.52,
0.129,798,93.9,12.27,1.52,
0.139,798,93.9,12.27,1.52,
0.152,798,93.9,12.27,1.52,
0.159,798,93.9,12.27,1.52,
0.169,798,93.9,12.27,1.52,
0.179,798,93.9,12.27,1.52,
0.189,798,93.9,12.27,1.52,
0.199,798,93.9,12.27,1.52,
0.209,798,93.9,12.27,1.52,
0.219,668,93.9,12.27,1.52,
0.229,668,93.9,12.27,1.52,
0.240,668,93.9,12.27,1.52,
0.249,668,93.9,12.27,1.52,
0.259,668,93.9,12.27,1.52,
0.269,668,93.9,12.27,1.52,
0.279,668,93.9,12.27,1.52,
0.289,668,93.9,12.27,1.52,
0.299,668,93.9,12.27,1.52,
0.309,668,93.9,12.27,1.52,
0.319,608,93.9,12.27,1.52,
0.329,608,93.9,12.27,1.52,
0.339,608,93.9,12.27,1.52,
0.349,608,93.9,12.27,1.52,
0.359,608,93.9,12.27,1.52,
0.369,608,93.9,12.27,1.52,
0.379,608,93.9,12.27,1.52,
0.389,608,93.9,12.27,1.52,
0.399,608,93.9,12.27,1.52,
0.409,0,93.9,12.27,1.52,
0.419,0,93.9,12.27,1.52,
0.429,0,93.9,12.27,1.52,
0.439,0,93.9,12.27,1.52,
0.449,452,93.9,12.27,1.52,
0.459,452,93.9,12.27,1.52,
0.469,452,93.9,12.27,1.52,
0.479,452,93.9,12.27,1.52,
0.489,452,93.9,12.27,1.52,
0.499,452,93.9,12.27,1.52,
