Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,913,96.1,12.18,1.52,
0.009,913,96.1,12.18,1.52,
0.019,913,96.1,12.18,1.52,
0.029,913,96.1,12.18,1.51,
0.039,913,96.1,12.18,1.52,
0.049,998,96.1,12.18,1.52,
0.059,998,96.1,12.18,1.52,
0.069,998,96.1,12.18,1.52,
0.079,998,96.1,12.18,1.52,
0.089,998,96.1,12.18,1.52,
0.100,1025,96.1,12.18,1.51,
0.109,1025,96.1,12.18,1.52,
0.119,1025,96.1,12.18,1.52,
0.129,1025,96.2,12.18,1.52,
0.140,1504,96.1,12.18,1.52,
0.149,1504,96.1,12.18,1.52,
0.159,1504,96.1,12.19,1.52,
0.169,1504,96.2,12.19,1.52,
0.180,1489,96.1,12.19,1.52,
0.189,1489,96.1,12.19,1.52,
0.199,1489,96.2,12.19,1.52,
0.210,1489,96.1,12.19,1.52,
0.219,1829,96.2,12.19,1.35,
0.229,1829,96.2,12.19,0.98,
0.239,1829,96.2,12.19,0.98,
0.249,1727,96.2,12.19,0.98,
0.259,1727,96.2,12.19,0.98,
0.269,1727,96.2,12.19,0.98,
0.279,1984,96.2,12.19,0.97,
0.291,1984,96.2,12.19,0.98,
0.299,1984,96.2,12.19,0.95,
0.309,1840,96.2,12.19,0.73,
0.319,1840,96.2,12.19,0.74,
0.329,1840,96.2,12.19,0.74,
0.339,2059,96.2,12.19,0.73,
0.349,2059,96.2,12.19,0.74,
0.359,2059,96.2,12.19,0.74,
0.369,2059,96.2,12.19,0.73,
0.379,1905,96.2,12.19,0.74,
0.389,1905,96.2,12.19,0.75,
0.402,2113,96.2,12.19,0.74,
0.409,2113,96.2,12.19,0.75,
0.419,2113,96.2,12.19,0.75,
0.430,1974,96.2,12.19,0.74,
0.439,1974,96.2,12.19,0.75,
0.449,1974,96.2,12.19,0.75,
0.459,2206,96.2,12.19,0.74,
0.469,2206,96.2,12.19,0.73,
0.479,2206,96.2,12.19,0.73,
0.489,2081,96.3,12.19,0.72,
0.499,2081,96.2,12.19,0.73,
0.512,2308,96.2,12.19,0.72,
0.519,2308,96.2,12.19,0.73,
0.529,2308,96.2,12.20,0.73,
0.539,2198,96.2,12.20,0.72,
0.549,2198,96.3,12.20,0.72,
0.559,2198,96.3,12.20,0.71,
0.569,2404,96.3,12.20,0.72,
0.579,2404,96.3,12.21,0.72,
0.589,2290,96.3,12.21,0.71,
0.599,2290,96.3,12.21,0.72,
0.609,2290,96.3,12.21,0.71,
0.619,2487,96.3,12.21,0.71,
0.629,2487,96.3,12.21,0.72,
0.639,2381,96.3,12.21,0.71,
0.649,2381,96.3,12.21,0.71,
0.659,2381,96.3,12.21,0.71,
0.669,2590,96.3,12.21,0.71,
0.679,2590,96.3,12.21,0.71,
0.689,2510,96.3,12.21,0.71,
0.699,2510,96.3,12.21,0.71,
0.709,2713,96.3,12.21,0.71,
0.719,2713,96.3,12.21,0.75,
0.729,2713,96.3,12.21,0.75,
0.739,2648,96.4,12.21,0.75,
0.749,2648,96.3,12.21,0.75,
0.759,2839,96.4,12.21,0.75,
0.769,2839,96.3,12.21,0.75,
0.779,2787,96.4,12.21,0.75,
