Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,772,96.1,12.16,1.52,
0.009,772,96.1,12.16,1.52,
0.019,772,96.1,12.17,1.52,
0.031,772,96.1,12.17,1.52,
0.039,772,96.1,12.17,1.51,
0.049,772,96.1,12.17,1.50,
0.059,918,96.1,12.17,1.50,
0.069,918,96.1,12.17,1.51,
0.079,918,96.1,12.17,1.52,
0.089,918,96.1,12.17,1.52,
0.099,1473,96.1,12.17,1.52,
0.109,1473,96.1,12.18,1.52,
0.119,1473,96.1,12.18,1.52,
0.129,1473,96.1,12.18,1.52,
0.142,1449,96.1,12.18,1.52,
0.149,1449,96.1,12.18,1.52,
0.159,1449,96.1,12.18,1.52,
0.169,1806,96.1,12.18,1.52,
0.179,1806,96.1,12.18,1.52,
0.189,1806,96.1,12.18,1.52,
0.199,1806,96.1,12.18,1.52,
0.209,1700,96.1,12.18,1.52,
0.219,1700,96.1,12.18,1.52,
0.229,1700,96.1,12.18,1.52,
0.239,1955,96.1,12.18,1.52,
0.249,1955,96.1,12.19,1.52,
0.259,1955,96.1,12.19,1.52,
0.269,1793,96.1,12.19,1.52,
0.279,1793,96.1,12.19,1.52,
0.289,1793,96.1,12.19,1.52,
0.299,2016,96.1,12.19,1.00,
0.309,2016,96.1,12.19,0.86,
0.319,2016,96.1,12.19,0.86,
0.329,1835,96.1,12.19,0.86,
0.339,1835,96.1,12.19,0.87,
0.349,1835,96.1,12.19,0.87,
0.361,2055,96.1,12.19,0.86,
0.369,2055,96.1,12.19,0.87,
0.379,2055,96.1,12.19,0.89,
0.390,1901,96.1,12.19,0.90,
0.399,1901,96.1,12.19,0.91,
0.409,1901,96.1,12.19,0.91,
0.419,2151,96.0,12.19,0.90,
0.429,2151,96.1,12.19,0.91,
0.439,2151,96.1,12.19,0.91,
0.449,2032,96.1,12.19,0.91,
0.459,2032,96.1,12.19,0.91,
0.470,2032,96.1,12.19,0.92,
0.479,2271,96.1,12.19,0.92,
0.489,2271,96.1,12.20,0.92,
0.499,2271,96.1,12.20,0.91,
0.509,2157,96.1,12.20,0.92,
0.519,2157,96.1,12.20,0.92,
0.529,2393,96.1,12.20,0.91,
0.539,2393,96.1,12.20,0.92,
0.549,2393,96.1,12.20,0.92,
0.559,2276,96.1,12.20,0.92,
0.569,2276,96.1,12.20,0.92,
0.580,2495,96.1,12.20,0.92,
0.589,2495,96.1,12.20,0.92,
0.599,2495,96.1,12.20,0.92,
0.609,2406,96.1,12.20,0.92,
0.619,2406,96.0,12.20,0.92,
0.629,2628,96.1,12.20,0.95,
0.639,2628,96.1,12.20,0.96,
0.649,2557,96.1,12.20,0.95,
0.659,2557,96.1,12.20,0.96,
0.670,2767,96.1,12.20,0.95,
0.679,2767,96.1,12.20,0.96,
0.690,2767,96.1,12.20,0.95,
0.699,2703,96.1,12.20,0.96,
0.709,2703,96.1,12.20,1.01,
0.719,2891,96.1,12.20,1.02,
0.729,2891,96.1,12.20,1.02,
0.739,2835,96.1,12.20,1.01,
0.749,2835,96.1,12.20,1.02,
0.759,3006,96.1,12.20,1.01,
0.769,3006,96.1,12.21,1.02,
0.779,2956,96.1,12.21,1.01,
0.789,2956,96.1,12.21,1.08,
0.799,3124,96.1,12.21,1.11,
0.809,3124,96.1,12.21,1.11,
0.819,3073,96.1,12.21,1.11,
0.829,3073,96.1,12.21,1.11,
0.839,3241,96.1,12.21,1.11,
0.849,3192,96.1,12.21,1.11,
0.859,3192,96.1,12.21,1.11,
0.869,3359,96.1,12.21,1.14,
0.879,3359,96.0,12.21,1.17,
0.889,3303,96.1,12.21,1.17,
0.899,3303,96.1,12.21,1.17,
0.909,3465,96.0,12.21,1.17,
0.919,3465,96.0,12.21,1.17,
0.929,3410,96.1,12.21,1.17,
0.939,3570,96.1,12.21,1.17,
0.949,3570,96.0,12.21,1.17,
0.959,3509,96.1,12.21,1.19,
0.969,3509,96.1,12.21,1.19,
0.979,3673,96.0,12.21,1.19,
0.989,3607,96.1,12.21,1.19,
0.999,3607,96.0,12.21,1.19,
1.009,3774,96.0,12.21,1.19,
1.020,3707,96.0,12.21,1.18,
1.029,3707,96.0,12.21,1.19,
1.039,3875,96.0,12.21,1.19,
1.049,3875,96.0,12.22,1.18,
1.059,3805,96.1,12.22,1.19,
1.069,3968,96.0,12.22,1.18,
1.079,3968,96.0,12.22,1.19,
1.089,3899,96.1,12.22,1.19,
1.099,4049,96.0,12.22,1.19,
1.109,4049,96.0,12.22,1.19,
1.119,3985,96.1,12.22,1.19,
1.129,4149,96.0,12.22,1.19,
1.139,4149,96.0,12.23,1.19,
1.149,4081,96.0,12.23,1.19,
1.159,4240,96.0,12.23,1.19,
1.169,4172,96.0,12.23,1.19,
1.179,4172,96.0,12.23,1.19,
1.189,4325,96.0,12.23,1.19,
1.199,4259,96.0,12.23,1.18,
1.209,4259,96.1,12.23,1.17,
1.219,4403,96.0,12.23,1.18,
1.229,4341,96.0,12.23,1.17,
1.239,4488,96.0,12.23,1.17,
1.249,4488,96.0,12.23,1.18,
1.259,4427,96.0,12.24,1.18,
1.269,4576,96.0,12.24,1.17,
1.279,4511,96.0,12.24,1.16,
1.289,4511,96.0,12.24,1.15,
1.299,4652,96.0,12.24,1.15,
1.309,4590,96.0,12.24,1.15,
1.319,4729,96.0,12.24,1.14,
1.330,4672,96.0,12.25,1.15,
1.339,4672,96.0,12.25,1.15,
1.349,4807,96.0,12.25,1.15,
1.359,4751,96.0,12.25,1.13,
1.369,4887,96.0,12.25,1.10,
1.379,4834,95.5,12.25,1.10,
1.389,4834,93.3,12.25,1.10,
1.399,4960,88.6,12.25,1.11,
1.409,4909,83.8,12.25,1.10,
1.419,5030,78.3,12.25,1.10,
1.429,4978,71.2,12.25,1.10,
1.440,5097,64.0,12.25,1.10,
1.449,5097,50.5,12.25,1.06,
1.459,5048,18.1,12.25,1.07,
1.469,5082,0.0,12.11,1.07,
1.479,5044,0.0,11.92,1.07,
1.489,5004,0.0,11.80,1.07,
1.499,4964,0.0,11.56,1.06,
1.509,4964,0.0,11.42,1.07,
1.519,4922,0.0,11.22,1.07,
1.529,4880,0.0,11.05,1.50,
1.539,4844,0.0,10.93,1.52,
1.549,4801,0.0,10.72,1.52,
1.559,4801,0.0,10.61,1.52,
1.569,4769,0.0,10.44,1.52,
1.579,4731,0.0,10.29,1.52,
1.589,4716,0.0,10.19,1.52,
1.599,4684,0.0,9.99,1.52,
1.609,4684,0.0,9.89,1.52,
1.619,4654,0.0,9.75,1.52,
1.629,4619,0.0,9.60,1.52,
1.639,4590,0.0,9.54,1.52,
1.649,4590,0.0,9.36,1.52,
1.659,4556,0.0,9.26,1.52,
1.670,4532,0.0,9.18,1.52,
1.679,4500,0.0,9.03,1.52,
1.689,4500,0.0,8.97,1.52,
1.699,4476,0.0,8.85,1.52,
1.709,4443,0.0,8.74,1.52,
1.719,4416,0.0,8.72,1.52,
1.729,4416,0.0,8.56,1.52,
1.739,4382,0.0,8.48,1.52,
1.749,4355,0.0,8.45,1.52,
1.760,4320,0.0,8.31,1.52,
1.769,4320,0.0,8.26,1.52,
1.780,4295,0.0,8.20,1.52,
1.789,4259,0.0,8.08,1.52,
1.799,4259,0.0,8.06,1.52,
1.809,4233,0.0,7.98,1.52,
1.819,4200,0.0,7.89,1.52,
1.829,4200,0.0,7.89,1.52,
1.839,4175,0.0,7.79,1.52,
1.849,4142,0.0,7.72,1.52,
1.860,4120,0.0,7.73,1.52,
1.869,4120,0.0,7.62,1.52,
1.879,4087,0.0,7.56,1.52,
1.890,4062,0.0,7.58,1.52,
1.899,4062,0.0,7.47,1.52,
1.909,4029,0.0,7.42,1.52,
1.919,4002,0.0,7.45,1.52,
1.929,4002,0.0,7.34,1.52,
1.939,3968,0.0,7.29,1.52,
1.950,3942,0.0,7.32,1.52,
1.959,3942,0.0,7.22,1.52,
1.969,3911,0.0,7.17,1.52,
1.979,3886,0.0,7.21,1.52,
1.989,3886,0.0,7.12,1.52,
2.001,3856,0.0,7.07,1.52,
2.009,3856,0.0,7.10,1.52,
2.019,3829,0.0,7.05,1.52,
2.029,3798,0.0,6.99,1.52,
2.039,3798,0.0,7.01,1.52,
2.049,3772,0.0,6.99,1.52,
2.059,3737,0.0,6.91,1.52,
2.069,3737,0.0,6.92,1.52,
2.079,3712,0.0,6.94,1.52,
2.089,3712,0.0,6.85,1.52,
2.099,3678,0.0,6.85,1.52,
2.112,3652,0.0,6.91,1.52,
