Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,904,0.0,11.83,1.52,
0.009,904,0.0,11.84,1.52,
0.019,904,0.0,11.85,1.52,
0.029,904,0.0,11.86,1.52,
0.039,904,0.0,11.87,1.52,
0.049,904,0.0,11.88,1.52,
0.059,904,0.0,11.89,1.52,
0.069,904,0.0,11.90,1.52,
0.079,718,0.0,11.91,1.52,
0.089,718,0.0,11.92,1.52,
0.099,718,0.0,11.87,1.52,
0.109,718,0.0,11.80,1.52,
0.119,718,0.0,11.79,1.52,
0.129,718,0.0,11.86,1.52,
0.139,718,0.0,11.95,1.52,
0.149,718,0.0,12.04,1.52,
0.159,718,0.0,12.07,1.52,
0.169,630,0.0,12.08,1.52,
0.179,630,0.0,12.09,1.52,
0.189,630,0.0,12.10,1.52,
0.199,630,0.0,12.10,1.52,
0.209,630,0.0,12.11,1.52,
0.219,630,0.0,12.11,1.52,
0.229,630,0.0,12.11,1.52,
0.239,630,0.0,12.11,1.52,
0.249,630,0.0,12.11,1.52,
0.259,0,0.0,12.11,1.52,
0.269,0,0.0,12.11,1.52,
0.279,0,0.0,12.11,1.52,
0.289,0,0.0,12.11,1.52,
0.299,0,0.0,12.11,1.52,
0.309,440,0.0,12.11,1.52,
0.319,440,0.0,12.11,1.52,
0.329,440,0.0,12.11,1.52,
0.339,440,0.0,12.11,1.52,
0.349,440,0.0,12.11,1.52,
0.359,440,0.0,12.11,1.52,
0.369,440,0.0,12.11,1.52,
0.379,440,0.0,12.11,1.52,
0.389,440,0.0,12.11,1.52,
0.399,440,0.0,12.11,1.52,
0.409,440,0.0,12.11,1.52,
0.419,440,0.0,12.11,1.52,
0.429,440,0.0,12.11,1.52,
0.439,440,0.0,12.11,1.52,
0.449,440,0.0,12.11,1.52,
0.459,0,0.0,12.11,1.52,
0.469,0,0.0,12.10,1.52,
0.479,0,0.0,12.06,1.52,
0.489,0,0.0,11.99,1.52,
0.499,0,0.0,11.90,1.52,
