Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,885,0.0,11.15,1.52,
0.009,885,0.0,11.18,1.52,
0.019,885,0.0,11.21,1.52,
0.029,885,0.0,11.24,1.52,
0.039,885,0.0,11.27,1.51,
0.049,954,0.0,11.28,1.52,
0.059,954,0.0,11.16,1.52,
0.069,954,0.0,10.97,1.52,
0.079,954,0.0,10.79,1.52,
0.089,954,0.0,10.68,1.52,
0.099,954,0.0,10.65,1.52,
0.109,980,0.0,10.67,1.52,
0.119,980,0.0,10.71,1.52,
0.129,980,0.0,10.76,1.52,
0.139,980,0.0,10.81,1.52,
0.149,980,0.0,10.85,1.52,
0.159,980,0.0,10.89,1.52,
0.170,1008,0.0,10.92,1.52,
0.179,1008,0.0,10.82,1.52,
0.189,1008,0.0,10.64,1.52,
0.199,1008,0.0,10.47,1.52,
0.209,1008,0.0,10.37,1.52,
0.219,1008,0.0,10.35,1.52,
0.229,1011,0.0,10.38,1.52,
0.239,1011,0.0,10.43,1.52,
0.249,1011,0.0,10.48,1.52,
0.259,1011,0.0,10.53,1.52,
0.269,1011,0.0,10.58,1.52,
0.279,1011,0.0,10.63,1.52,
0.289,1027,0.0,10.64,1.52,
0.299,1027,0.0,10.51,1.52,
0.309,1027,0.0,10.34,1.52,
0.319,1027,0.0,10.19,1.52,
0.329,1027,0.0,10.12,1.52,
0.339,1027,0.0,10.12,1.52,
0.349,1024,0.0,10.16,1.52,
0.359,1024,0.0,10.22,1.52,
0.369,1024,0.0,10.28,1.52,
0.379,1024,0.0,10.34,1.52,
0.389,1024,0.0,10.40,1.52,
0.399,1024,0.0,10.46,1.52,
0.409,1036,0.0,10.44,1.52,
0.419,1036,0.0,10.29,1.52,
0.429,1036,0.0,10.12,1.52,
0.439,1036,0.0,10.00,1.52,
0.449,1036,0.0,9.97,1.52,
0.459,1036,0.0,9.99,1.52,
0.469,1031,0.0,10.05,1.52,
0.479,1031,0.0,10.12,1.52,
0.489,1031,0.0,10.18,1.52,
0.499,1031,0.0,10.24,1.52,
0.509,1031,0.0,10.30,1.52,
0.520,1040,0.0,10.35,1.52,
0.529,1040,0.0,10.26,1.52,
0.539,1040,0.0,10.10,1.52,
0.549,1040,0.0,9.95,1.52,
0.559,1040,0.0,9.87,1.52,
0.569,1040,0.0,9.87,1.52,
0.579,1031,0.0,9.91,1.52,
0.589,1031,0.0,9.98,1.52,
0.599,1031,0.0,10.05,1.52,
0.609,1031,0.0,10.12,1.52,
0.619,1031,0.0,10.18,1.52,
0.629,1031,0.0,10.24,1.52,
0.639,1039,0.0,10.24,1.52,
0.649,1039,0.0,10.11,1.52,
0.659,1039,0.0,9.95,1.52,
0.669,1039,0.0,9.83,1.52,
0.679,1039,0.0,9.79,1.52,
0.689,1039,0.0,9.81,1.52,
0.699,1030,0.0,9.87,1.52,
0.709,1030,0.0,9.94,1.52,
0.719,1030,0.0,10.01,1.52,
0.729,1030,0.0,10.08,1.52,
0.739,1030,0.0,10.15,1.52,
0.749,1030,0.0,10.21,1.52,
0.759,1041,0.0,10.15,1.52,
0.769,1041,0.0,9.99,1.52,
0.779,1041,0.0,9.84,1.52,
0.789,1041,0.0,9.75,1.52,
0.799,1041,0.0,9.74,1.52,
0.809,1033,0.0,9.78,1.52,
0.819,1033,0.0,9.85,1.52,
0.829,1033,0.0,9.92,1.52,
0.839,1033,0.0,9.99,1.52,
0.849,1033,0.0,10.06,1.52,
0.859,1033,0.0,10.13,1.52,
0.869,1041,0.0,10.15,1.52,
0.879,1041,0.0,10.03,1.52,
0.889,1041,0.0,9.87,1.52,
0.899,1041,0.0,9.74,1.52,
0.909,1041,0.0,9.69,1.52,
0.919,1041,0.0,9.70,1.52,
0.929,1032,0.0,9.76,1.52,
0.939,1032,0.0,9.83,1.52,
0.949,1032,0.0,9.90,1.52,
0.959,1032,0.0,9.97,1.52,
0.969,1032,0.0,10.04,1.52,
0.979,1032,0.0,10.11,1.52,
0.989,1042,0.0,10.08,1.52,
0.999,1042,0.0,9.93,1.52,
1.009,1042,0.0,9.78,1.52,
1.019,1042,0.0,9.68,1.52,
1.029,1042,0.0,9.67,1.52,
1.039,1042,0.0,9.71,1.52,
1.049,1035,0.0,9.78,1.52,
1.059,1035,0.0,9.85,1.52,
1.069,1035,0.0,9.92,1.52,
1.079,1035,0.0,9.99,1.52,
1.089,1035,0.0,10.06,1.52,
1.099,1043,0.0,10.10,1.52,
1.109,1043,0.0,10.00,1.52,
1.119,1043,0.0,9.84,1.52,
1.129,1043,0.0,9.70,1.52,
1.139,1043,0.0,9.64,1.52,
1.149,1043,0.0,9.65,1.52,
1.159,1036,0.0,9.71,1.52,
