Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,548,93.2,7.22,1.52,
0.009,548,93.3,7.37,1.52,
0.019,548,93.2,7.52,1.52,
0.029,548,93.3,7.66,1.52,
0.039,548,93.2,7.80,1.52,
0.049,548,93.2,7.93,1.52,
0.059,548,93.2,8.06,1.52,
0.069,548,93.2,8.19,1.52,
0.079,548,93.2,8.31,1.52,
0.089,548,93.2,8.43,1.52,
0.099,548,93.2,8.55,1.52,
0.109,548,93.2,8.66,1.52,
0.119,548,93.2,8.77,1.52,
0.129,417,93.2,8.87,1.52,
0.139,417,93.2,8.97,1.52,
0.149,417,93.2,9.07,1.52,
0.159,417,93.3,9.17,1.52,
0.169,417,93.2,9.26,1.52,
0.179,417,93.2,9.35,1.52,
0.189,417,93.2,9.44,1.52,
0.199,417,93.2,9.52,1.52,
0.209,417,93.2,9.60,1.52,
0.219,417,93.2,9.68,1.52,
0.229,417,93.2,9.76,1.52,
0.239,417,93.2,9.84,1.52,
0.249,417,93.2,9.91,1.52,
0.259,417,93.3,9.98,1.52,
0.269,0,93.2,10.05,1.52,
0.279,0,93.3,10.12,1.52,
0.289,0,93.2,10.18,1.52,
0.299,0,93.3,10.24,1.52,
0.309,0,93.2,10.30,1.52,
0.319,0,93.2,10.36,1.52,
0.329,0,93.2,10.42,1.52,
0.339,0,93.2,10.48,1.52,
0.349,0,93.2,10.53,1.52,
0.359,0,93.2,10.58,1.52,
0.369,0,93.2,10.63,1.52,
0.379,0,93.2,10.68,1.52,
0.389,0,93.2,10.73,1.52,
0.399,0,93.2,10.78,1.52,
0.409,0,93.2,10.82,1.52,
0.419,0,93.2,10.86,1.52,
0.429,0,93.2,10.90,1.52,
0.439,0,93.2,10.94,1.52,
0.449,0,93.2,10.98,1.52,
0.459,0,93.3,11.02,1.52,
0.469,0,93.2,11.06,1.52,
0.479,0,93.2,11.10,1.52,
0.489,0,93.2,11.14,1.52,
0.499,0,93.2,11.17,1.52,
