Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,682,93.3,12.20,1.52,
0.009,682,93.3,12.20,1.52,
0.019,682,93.3,12.20,1.52,
0.029,682,93.3,12.20,1.52,
0.039,682,93.3,12.20,1.51,
0.049,876,93.3,12.20,1.52,
0.059,876,93.3,12.20,1.52,
0.069,876,93.3,12.20,1.52,
0.079,876,93.3,12.20,1.52,
0.089,876,93.3,12.20,1.52,
0.099,876,93.3,12.20,1.52,
0.109,876,93.3,12.20,1.52,
0.119,936,93.3,12.20,1.52,
0.129,936,93.3,12.20,1.52,
0.139,936,93.3,12.20,1.52,
0.149,936,93.3,12.20,1.52,
0.159,936,93.3,12.20,1.52,
0.169,936,93.3,12.20,1.52,
0.179,998,93.3,12.20,1.52,
0.189,998,93.3,12.20,1.52,
0.199,998,93.3,12.20,1.52,
0.209,998,93.3,12.20,1.52,
0.219,998,93.3,12.20,1.52,
0.229,998,93.3,12.20,1.52,
0.239,997,93.3,12.20,1.52,
0.249,997,93.3,12.20,1.52,
0.259,997,93.3,12.20,1.52,
0.269,997,93.3,12.20,1.52,
0.279,997,93.3,12.20,1.52,
0.289,997,93.3,12.20,1.52,
0.299,1040,93.3,12.20,1.52,
0.309,1040,93.3,12.20,1.52,
0.319,1040,93.3,12.20,1.52,
0.329,1040,93.3,12.20,1.52,
0.339,1040,93.3,12.20,1.52,
0.349,1040,93.3,12.20,1.52,
0.359,1016,93.3,12.20,1.52,
0.369,1016,93.3,12.20,1.52,
0.379,1016,93.3,12.20,1.52,
0.389,1016,93.3,12.20,1.52,
0.399,1016,93.3,12.20,1.52,
0.410,1034,93.3,12.20,1.52,
0.419,1034,93.3,12.20,1.28,
0.429,1034,93.3,12.20,1.27,
0.439,1034,93.3,12.20,1.28,
0.449,1034,93.3,12.20,1.27,
0.459,1034,93.3,12.20,1.27,
0.469,1034,93.3,12.20,1.27,
0.479,951,93.3,12.20,1.28,
0.489,951,93.3,12.20,1.27,
0.499,951,93.3,12.20,1.26,
0.509,951,93.3,12.20,1.25,
0.519,951,93.3,12.20,1.25,
0.529,951,93.3,12.20,1.25,
0.539,917,93.3,12.20,1.25,
0.549,917,93.3,12.20,1.25,
0.559,917,93.3,12.20,1.25,
0.569,917,93.3,12.20,1.25,
0.579,917,93.3,12.20,1.26,
0.589,917,93.3,12.20,1.28,
0.599,917,93.3,12.20,1.27,
0.609,917,93.3,12.20,1.28,
0.619,817,93.3,12.20,1.28,
0.629,817,93.3,12.20,1.28,
0.639,817,93.4,12.20,1.28,
0.649,817,93.3,12.20,1.28,
0.659,817,93.3,12.20,1.29,
0.669,817,93.3,12.20,1.32,
0.679,817,93.3,12.20,1.32,
0.689,779,93.3,12.20,1.32,
0.699,779,93.3,12.20,1.32,
0.709,779,93.3,12.20,1.32,
0.719,779,93.3,12.20,1.32,
0.729,779,93.3,12.20,1.32,
0.739,779,93.3,12.20,1.34,
0.749,779,93.3,12.20,1.41,
0.759,779,93.3,12.20,1.40,
0.769,779,93.3,12.20,1.41,
0.779,779,93.3,12.20,1.41,
0.789,627,93.3,12.20,1.41,
0.799,627,93.3,12.20,1.41,
0.809,627,93.3,12.20,1.41,
0.819,627,93.3,12.20,1.41,
0.829,627,93.3,12.20,1.43,
0.839,627,93.3,12.20,1.43,
0.849,627,93.3,12.20,1.43,
0.859,627,93.3,12.20,1.43,
0.869,627,93.3,12.20,1.43,
0.879,627,93.3,12.20,1.43,
0.889,578,93.3,12.20,1.43,
0.899,578,93.3,12.20,1.43,
0.909,578,93.3,12.20,1.49,
0.919,578,93.3,12.20,1.50,
0.929,578,93.3,12.20,1.50,
0.939,578,93.3,12.20,1.50,
0.949,578,93.3,12.20,1.50,
0.959,578,93.3,12.20,1.50,
0.969,578,93.3,12.20,1.50,
0.979,578,93.3,12.20,1.50,
0.989,578,93.3,12.20,1.51,
0.999,578,93.3,12.20,1.52,
1.009,578,93.4,12.20,1.52,
