Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,671,93.3,12.20,1.52,
0.009,671,93.3,12.20,1.52,
0.019,671,93.3,12.20,1.52,
0.029,671,93.3,12.20,1.52,
0.039,671,93.3,12.20,1.52,
0.049,671,93.3,12.20,1.52,
0.059,671,93.3,12.20,1.52,
0.069,671,93.3,12.20,1.52,
0.079,671,93.3,12.20,1.52,
0.089,605,93.3,12.20,1.52,
0.099,605,93.3,12.20,1.52,
0.109,605,93.3,12.20,1.52,
0.119,605,93.3,12.20,1.52,
0.129,605,93.3,12.20,1.52,
0.140,1154,93.3,12.20,1.52,
0.149,1154,93.3,12.20,1.52,
0.159,1154,93.3,12.20,1.52,
0.169,1154,93.3,12.20,1.52,
0.179,1154,93.3,12.20,1.52,
0.189,1154,93.3,12.20,1.52,
0.199,1094,93.3,12.20,1.52,
0.209,1094,93.3,12.20,1.52,
0.219,1094,93.3,12.20,1.52,
0.229,1094,93.3,12.20,1.52,
0.239,1094,93.3,12.20,1.52,
0.249,1094,93.3,12.20,1.52,
0.259,1061,93.3,12.20,1.52,
0.269,1061,93.3,12.20,1.52,
0.279,1061,93.3,12.20,1.52,
0.289,1061,93.3,12.20,1.52,
0.299,1061,93.3,12.20,1.52,
0.309,1061,93.3,12.20,1.52,
0.319,978,93.3,12.20,1.52,
0.329,978,93.3,12.20,1.52,
0.339,978,93.3,12.20,1.52,
0.349,978,93.3,12.20,1.52,
0.359,978,93.3,12.20,1.52,
0.369,978,93.3,12.20,1.52,
0.379,941,93.3,12.20,1.52,
0.389,941,93.3,12.20,1.52,
0.399,941,93.3,12.20,1.52,
0.409,941,93.3,12.20,1.52,
0.419,941,93.3,12.20,1.52,
0.429,941,93.3,12.20,1.52,
0.439,941,93.3,12.20,1.52,
0.449,843,93.3,12.20,1.52,
0.459,843,93.3,12.20,1.52,
0.469,843,93.3,12.20,1.52,
0.479,843,93.3,12.20,1.52,
0.489,843,93.3,12.20,1.52,
0.499,843,93.3,12.20,1.52,
0.509,843,93.3,12.20,1.52,
0.519,843,93.3,12.20,1.52,
0.529,800,93.3,12.20,1.52,
0.539,800,93.3,12.20,1.52,
0.549,800,93.3,12.20,1.52,
0.559,800,93.3,12.20,1.52,
0.569,800,93.3,12.20,1.52,
0.579,800,93.3,12.20,1.52,
0.589,800,93.3,12.20,1.52,
0.599,800,93.3,12.20,1.52,
0.609,800,93.3,12.20,1.52,
0.619,675,93.3,12.20,1.52,
0.629,675,93.3,12.20,1.52,
0.639,675,93.3,12.20,1.52,
0.649,675,93.3,12.20,1.52,
0.659,675,93.3,12.20,1.52,
0.669,675,93.3,12.20,1.52,
0.679,675,93.3,12.20,1.52,
0.689,675,93.3,12.20,1.52,
0.699,675,93.3,12.20,1.52,
0.709,620,93.3,12.20,1.52,
0.719,620,93.3,12.20,1.52,
0.729,620,93.3,12.20,1.52,
0.739,620,93.3,12.20,1.52,
0.749,620,93.3,12.20,1.52,
0.759,620,93.3,12.20,1.52,
0.769,620,93.3,12.20,1.52,
0.779,620,93.3,12.20,1.52,
0.789,620,93.3,12.20,1.52,
