Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,681,92.1,12.19,1.52,
0.009,681,92.1,12.19,1.52,
0.019,681,92.1,12.19,1.52,
0.029,681,92.1,12.19,1.52,
0.039,681,92.1,12.19,1.52,
0.049,681,92.1,12.19,1.52,
0.059,681,92.1,12.19,1.52,
0.069,681,92.1,12.19,1.52,
0.079,681,92.1,12.19,1.52,
0.089,681,92.1,12.19,1.52,
0.099,681,92.1,12.19,1.52,
0.109,681,92.1,12.19,1.52,
0.119,681,92.1,12.19,1.52,
0.129,0,92.1,12.19,1.52,
0.139,0,92.1,12.19,1.52,
0.149,0,92.1,12.19,1.52,
0.159,0,92.1,12.19,1.52,
0.169,0,92.1,12.19,1.52,
0.179,0,92.1,12.19,1.52,
0.189,0,92.1,12.19,1.52,
0.199,0,92.1,12.19,1.52,
0.209,0,92.1,12.19,1.52,
0.219,0,92.0,12.19,1.52,
0.229,0,92.0,12.19,1.52,
0.239,0,92.0,12.19,1.52,
0.249,0,92.1,12.19,1.52,
0.259,0,92.1,12.19,1.52,
0.269,0,92.1,12.19,1.52,
0.279,0,92.0,12.19,1.52,
0.289,0,92.1,12.19,1.52,
0.299,0,92.1,12.19,1.52,
0.309,0,92.1,12.19,1.52,
0.319,0,92.1,12.19,1.52,
0.329,0,92.1,12.19,1.52,
0.339,0,92.1,12.19,1.52,
0.349,0,92.1,12.19,1.52,
0.359,0,92.1,12.19,1.52,
0.369,0,92.1,12.19,1.52,
0.379,0,92.1,12.19,1.52,
0.389,0,92.1,12.19,1.52,
0.399,0,92.0,12.19,1.52,
0.409,0,92.1,12.19,1.52,
0.419,0,92.0,12.19,1.52,
0.429,0,92.1,12.19,1.52,
0.439,0,92.1,12.19,1.52,
0.449,0,92.1,12.19,1.52,
0.459,0,92.1,12.19,1.52,
0.469,0,92.1,12.19,1.52,
0.479,0,92.1,12.19,1.52,
0.489,0,92.1,12.19,1.52,
0.499,0,92.1,12.19,1.52,
