Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent
3.24,4417,7289,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.249,4417,7289,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.259,4325,-6632,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.269,4438,8359,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.279,4438,8359,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.289,4358,-5811,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.299,4487,9647,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.309,4413,-5443,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.319,4413,-5443,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.329,4522,8216,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.339,4448,-5486,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.349,4537,6730,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.359,4537,6730,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.369,4416,-8907,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.379,4340,-5497,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.389,4297,-3079,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.399,4297,-3079,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.409,4287,-714,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.419,4260,-1917,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.429,4260,-1917,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.439,4253,-496,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.449,4220,-2321,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.46,4212,-561,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.469,4212,-561,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.479,4182,-2091,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.489,4181,-69,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.499,4181,-69,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.509,4148,-2281,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.519,4350,14646,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.529,4333,14646,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.539,4333,-1227,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.549,4511,13384,169,100,0,12.19,0,12.46,11.5,1,100,49,0,2,0,0,0
3.559,4490,-1571,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.57,4662,13365,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.579,4662,13365,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
3.589,4593,-5282,169,100,0,12.19,0,12.46,11.6,1,100,49,0,2,0,0,0
